pitcher_mlb_id,pitchername,year_played,num_pitches,pitcher_height,x0,z0,arm_angle,pitch_extension_cleaned,arm_slot
527048,Martín Pérez,2023,1998.0,72.0,1.03,5.48,38.556490932202635,5.92,Three-Quarters
527054,Julio Teheran,2023,944.0,74.0,-2.56,4.92,76.83789955830262,6.37,Sidearm
541640,Erasmo Ramírez,2023,771.0,72.0,-1.99,5.25,62.36908075039641,6.45,Sidearm
542194,Christian Bethancourt,2023,10.0,75.0,-1.495,6.4399999999999995,33.31209876988176,5.785,Three-Quarters
542208,Carlos Pérez,2023,42.0,70.0,-2.0,6.404999999999999,40.83347530666412,4.165,Three-Quarters
542585,José Cisnero,2023,881.0,75.0,-1.27,5.24,55.19598824728678,6.08,Three-Quarters
542881,Tyler Anderson,2023,2233.0,74.0,1.58,6.17,40.08821182749401,6.23,Three-Quarters
542888,Shawn Armstrong,2023,626.0,74.0,-1.73,5.6,53.42814356361858,6.6,Three-Quarters
542914,Anthony Bass,2023,334.0,74.0,-1.22,5.7,41.37458305208649,6.54,Three-Quarters
542947,Richard Bleier,2023,460.0,75.0,2.84,5.75,64.04223643922555,6.71,Sidearm
543037,Gerrit Cole,2023,2876.0,76.0,-1.86,5.77,53.818576493850216,6.28,Three-Quarters
543056,Danny Coulombe,2023,707.0,70.0,-0.6,5.92,17.668384367352097,5.69,Overhand
543063,Brandon Crawford,2023,20.0,73.0,-2.33,6.074999999999999,50.95881013219158,5.945,Three-Quarters
543101,Anthony DeSclafani,2023,1553.0,74.0,-1.77,5.45,57.652556500557964,6.5,Three-Quarters
543135,Nathan Eovaldi,2023,1867.0,74.0,-2.22,5.42,63.66104637124126,6.81,Sidearm
543243,Sonny Gray,2023,2509.0,70.0,-0.85,5.46,31.497843876756953,6.48,Three-Quarters
543272,Brad Hand,2023,856.0,75.0,2.28,5.98,55.3879468202612,5.79,Three-Quarters
543281,Josh Harrison,2023,44.0,68.0,-1.685,6.3149999999999995,36.08032618960621,3.5,Three-Quarters
543294,Kyle Hendricks,2023,1789.0,75.0,-2.34,5.94,55.98506297889538,5.68,Three-Quarters
543339,Daniel Hudson,2023,64.0,75.0,-2.645,5.49,67.11907523456355,6.515,Sidearm
543351,Jay Jackson,2023,410.0,73.0,-2.2,5.49,60.78992044631594,6.31,Sidearm
543475,Jordan Lyles,2023,2474.0,77.0,-1.5,5.83,47.92761938288979,6.82,Three-Quarters
543507,Trevor May,2023,686.0,77.0,-1.15,5.62,46.121225730840244,7.035,Three-Quarters
543510,James McCann,2023,14.0,75.0,-1.645,6.885,31.882914841527082,5.0600000000000005,Three-Quarters
543518,Scott McGough,2023,1171.0,71.0,-1.56,5.83,42.86866124028836,5.74,Three-Quarters
543521,Collin McHugh,2023,1024.0,74.0,-2.15,5.28,65.83061780068218,6.67,Sidearm
543543,Brad Miller,2023,39.0,74.0,-2.36,5.76,58.33333612794059,5.59,Three-Quarters
543548,Tommy Milone,2023,163.0,72.0,2.82,5.94,58.17761131345438,6.07,Three-Quarters
543594,Sean Nolin,2023,63.0,76.0,1.2349999999999999,5.77,40.74465448155364,6.395,Three-Quarters
543766,Bryan Shaw,2023,545.0,73.0,-2.57,5.94,56.94296261719179,5.85,Three-Quarters
543859,Michael Tonkin,2023,1035.0,79.0,-3.29,5.25,78.9847473094458,6.25,Sidearm
543901,Ryan Weber,2023,182.0,73.0,-1.76,5.045,66.43860981644505,5.425,Sidearm
544727,Jeurys Familia,2023,256.0,75.0,-1.51,5.94,43.978616805162346,5.91,Three-Quarters
545121,Ildemaro Vargas,2023,28.0,72.0,-0.8999999999999999,6.79,20.168333235244404,5.075,Overhand
547179,Michael Lorenzen,2023,2170.0,75.0,-1.54,5.59,52.02077914520119,5.85,Three-Quarters
547184,Michael Kelly,2023,196.0,76.0,-1.06,5.89,36.49812058851855,6.085,Three-Quarters
547943,Hyun Jin Ryu,2023,524.0,75.0,2.03,5.74,56.30979409249801,6.57,Three-Quarters
547973,Aroldis Chapman,2023,915.0,76.0,0.51,5.92,18.944754077528984,7.15,Overhand
548384,Brooks Raley,2023,875.0,75.0,2.73,5.5,67.4069056513492,5.84,Sidearm
548389,Ross Stripling,2023,1256.0,75.0,-0.91,6.7,21.540944490118143,6.08,Overhand
552640,Andrew Kittredge,2023,79.0,73.0,-1.39,5.71,43.293821705553,6.6,Three-Quarters
554340,Yimi García,2023,977.0,74.0,-2.38,5.05,72.8753020516427,5.93,Sidearm
554430,Zack Wheeler,2023,2796.0,76.0,-1.86,5.33,64.24048269643096,7.17,Sidearm
570257,Joely Rodríguez,2023,216.0,73.0,3.59,5.36,72.72346277898505,6.45,Sidearm
570632,José Ureña,2023,363.0,74.0,-1.63,5.67,49.73276399284615,6.4,Three-Quarters
570666,Luis Cessa,2023,465.0,72.0,-0.74,5.99,22.693794945092357,5.67,Overhand
570731,Jonathan Schoop,2023,17.0,73.0,-2.11,5.99,51.091081230757,4.65,Three-Quarters
571466,Tucker Barnhart,2023,42.0,71.0,-1.14,8.25,16.30632102283418,3.51,Overhand
571479,Andrew Bellatti,2023,421.0,73.0,-1.6,5.36,55.37584492005105,6.0,Three-Quarters
571510,Matthew Boyd,2023,1178.0,75.0,1.99,5.29,64.90936580742735,6.33,Sidearm
571539,Matt Carasiti,2023,373.0,74.0,-1.11,5.78,36.86989764584403,6.4,Three-Quarters
571578,Patrick Corbin,2023,2581.0,76.0,2.03,6.18,49.453954823923226,6.83,Three-Quarters
571616,Matt Dermody,2023,76.0,77.0,1.14,5.76,41.70531139331881,6.325,Three-Quarters
571656,Buck Farmer,2023,1051.0,76.0,-1.13,5.72,41.48919003113678,6.12,Three-Quarters
571670,Dylan Floro,2023,886.0,74.0,-3.19,5.89,63.5317321422092,6.47,Sidearm
571710,Mychal Givens,2023,94.0,72.0,-2.24,4.67,78.54452394526244,5.965,Sidearm
571760,Andrew Heaney,2023,2307.0,74.0,2.55,4.99,75.44069254183792,6.46,Sidearm
571863,Matt Koch,2023,417.0,75.0,-2.23,5.66,59.957444149870135,6.33,Three-Quarters
571875,Jake Lamb,2023,8.0,75.0,-1.33,6.455,33.351652494736896,4.890000000000001,Three-Quarters
571882,Derek Law,2023,855.0,75.0,-1.11,6.29,30.238683464479976,6.47,Three-Quarters
571901,Aaron Loup,2023,758.0,71.0,3.44,4.49,84.35677683213972,6.1,Sidearm
571912,Luke Maile,2023,80.0,75.0,-1.59,6.37,38.179995295522815,5.475,Three-Quarters
571927,Steven Matz,2023,1869.0,74.0,1.52,5.55,50.76073609407706,6.55,Three-Quarters
571945,Miles Mikolas,2023,2722.0,76.0,-1.84,6.41,42.41734522115256,6.41,Three-Quarters
571946,Shelby Miller,2023,516.0,75.0,-1.43,5.23,59.13136642344129,7.28,Three-Quarters
571948,Hoby Milner,2023,903.0,75.0,4.03,4.33,90.64778899952792,6.8,Submarine
572008,Chris Owings,2023,9.0,70.0,-0.59,7.28,10.39364467023093,5.46,Overhand
572020,James Paxton,2023,1692.0,76.0,1.75,5.96,48.73816325769271,6.74,Three-Quarters
572193,Ryan Tepera,2023,233.0,73.0,-1.86,5.56,54.835836879641604,6.34,Three-Quarters
572403,Drew VerHagen,2023,934.0,78.0,-1.1,6.25,33.469133738559684,6.39,Three-Quarters
572888,Shane Greene,2023,9.0,76.0,-2.23,5.68,60.122599376635876,5.96,Sidearm
572955,Pierce Johnson,2023,991.0,74.0,-1.78,5.94,47.64592692345664,5.92,Three-Quarters
572971,Dallas Keuchel,2023,341.0,74.0,1.08,6.04,32.07845120574556,6.03,Three-Quarters
573009,Joe Mantiply,2023,413.0,76.0,2.83,5.19,75.04373463570225,6.44,Sidearm
573124,Taylor Rogers,2023,760.0,75.0,1.565,5.61,51.698391721485706,5.78,Three-Quarters
573186,Marcus Stroman,2023,2061.0,67.0,-0.81,5.19,32.55709294539757,5.77,Three-Quarters
573204,Caleb Thielbar,2023,363.0,72.0,0.42,5.92,13.284025438790561,6.33,Overhand
579328,Yusei Kikuchi,2023,2410.0,72.0,2.04,5.34,60.62959558978059,6.83,Sidearm
592094,Jason Adam,2023,899.0,75.0,-1.31,5.74,43.96346859282257,6.57,Three-Quarters
592222,Alex Claudio,2023,4.0,74.0,2.1500000000000004,4.734999999999999,78.99701568736224,5.615,Sidearm
592229,Dylan Covey,2023,608.0,73.0,-1.32,6.14,34.946508468324346,6.02,Three-Quarters
592254,José De León,2023,284.0,72.0,-2.04,4.855,72.31043607471852,6.665,Sidearm
592332,Kevin Gausman,2023,2650.0,74.0,-2.22,5.57,60.27300686342352,6.55,Sidearm
592346,Chi Chi González,2023,50.0,75.0,-1.55,5.875,45.84123059446594,6.01,Three-Quarters
592351,Jon Gray,2023,2148.0,76.0,-1.76,5.44,60.11651031397804,6.54,Sidearm
592390,Heath Hembree,2023,18.0,76.0,-1.0350000000000001,5.48,45.34273441063033,6.67,Three-Quarters
592426,Luke Jackson,2023,435.0,74.0,-1.99,6.29,45.39243070934087,6.78,Three-Quarters
592454,Tommy Kahnle,2023,583.0,73.0,-1.89,5.61,54.45761773480248,6.67,Three-Quarters
592473,Adam Kolarek,2023,83.0,75.0,3.25,3.54,104.65794336204098,6.64,Submarine
592527,Michael Mariot,2023,41.0,72.0,-1.85,5.98,45.63659357596348,5.95,Three-Quarters
592662,Robbie Ray,2023,91.0,74.0,2.37,5.98,54.454468091623404,6.26,Three-Quarters
592741,Chasen Shreve,2023,740.0,76.0,1.17,5.44,50.776167677696,6.34,Three-Quarters
592767,Drew Smyly,2023,2195.0,74.0,1.72,6.29,41.199221934910035,5.69,Three-Quarters
592773,Ryne Stanek,2023,846.0,76.0,-0.54,6.2,16.89511053429838,5.96,Overhand
592779,Brock Stewart,2023,406.0,75.0,-2.05,5.38,64.0257472918017,6.22,Sidearm
592789,Noah Syndergaard,2023,1409.0,78.0,-0.88,6.17,28.442928624363333,6.59,Overhand
592791,Jameson Taillon,2023,2137.0,77.0,-1.18,5.89,39.76482292940841,6.67,Three-Quarters
592826,Vince Velasquez,2023,653.0,75.0,-1.8050000000000002,5.475,58.557157824308135,6.7,Three-Quarters
592836,Taijuan Walker,2023,2418.0,76.0,-1.76,6.27,43.775980632638564,5.9,Three-Quarters
592848,Zack Weiss,2023,94.0,75.0,-1.58,5.54,54.32023012829151,6.41,Three-Quarters
592866,Trevor Williams,2023,2381.0,75.0,-2.2,4.96,74.99255912790304,6.75,Sidearm
593334,Domingo Germán,2023,1655.0,74.0,-1.33,5.43,49.08561677997486,6.03,Three-Quarters
593576,Hector Neris,2023,938.0,74.0,-1.4,5.89,41.7244183640268,6.12,Three-Quarters
593619,Domingo Tapia,2023,323.0,75.0,-1.41,5.6,48.29968239586605,6.0,Three-Quarters
593643,Hanser Alberto,2023,33.0,71.0,-1.6,6.1,38.970205153589106,4.63,Three-Quarters
593833,Wander Suero,2023,120.0,76.0,-3.08,5.63,68.7404296612506,6.29,Sidearm
593958,Eduardo Rodriguez,2023,2001.0,74.0,1.5,5.66,47.692619489196616,6.26,Three-Quarters
593974,Wandy Peralta,2023,831.0,72.0,0.56,5.73,20.24117964626724,5.92,Overhand
594577,Mike Mayers,2023,455.0,74.0,-1.83,5.48,57.62086752872566,6.26,Three-Quarters
594580,Sam Moll,2023,931.0,69.0,1.91,5.06,62.03198950421573,4.78,Sidearm
594798,Jacob deGrom,2023,451.0,76.0,-1.33,5.5,51.26132630430219,6.67,Three-Quarters
594835,Marco Gonzales,2023,811.0,73.0,2.02,5.38,61.39268155001369,6.45,Sidearm
594902,Ben Lively,2023,1178.0,76.0,-1.39,5.1,64.22674531744171,6.98,Sidearm
594943,Zach Neal,2023,389.0,75.0,-2.25,5.22,69.58238355072335,6.6,Sidearm
595345,Steven Okert,2023,858.0,74.0,2.77,5.62,64.83082092052422,6.34,Sidearm
595411,Ryan Sherriff,2023,106.0,73.0,2.675,4.68,80.71453158853483,6.235,Sidearm
595897,Nick Burdi,2023,58.0,75.0,-2.285,5.8,57.76294590429863,6.15,Three-Quarters
595928,John Curtiss,2023,305.0,77.0,-2.28,5.95,57.48436324398003,6.43,Three-Quarters
