Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Rowan Wick,1153,4.044783592,3.912964675,,3.283115949,,4.517063546,4.581843485,
Zack Greinke,2272,4.049323534,4.435849755,5.028787857,3.938221047,4.222864488,3.046932631,4.179375871,
Kyle Bradish,1993,4.052567523,4.448593185,5.562659114,3.327883773,3.595244688,4.223266706,,
Hoby Milner,1088,4.053750264,4.130728725,4.007567691,,4.787905601,3.657483061,,
Lance Lynn,2022,4.054468275,3.953098781,4.083341725,3.624418535,6.446333712,5.353039266,3.494664318,
Jacob Barnes,361,4.056351163,3.494378242,,4.222345955,,,4.645458479,
Joel Payamps,952,4.05646154,4.148279139,3.958313692,4.055067273,4.073243375,,,
Tommy Hunter,349,4.059504267,,4.786579036,,,3.33241488,3.98010294,
Ralph Garza Jr.,514,4.062033081,3.939868803,4.194230678,3.052673053,5.57747581,,4.184072476,
Chi Chi González,376,4.063260949,4.556671175,4.757799187,3.070377569,5.183827648,,,
Dean Kremer,1947,4.063397184,4.120688158,4.180491146,,5.015137169,4.681379256,3.26942488,
Josh Winder,1114,4.066955111,5.010342549,,2.603936518,4.996633218,4.144843363,,
Chris Stratton,1100,4.071367926,4.465856358,,3.55487618,5.548331242,3.641040504,,
Paul Blackburn,1762,4.075158308,4.816627073,4.905522721,4.302960564,4.434168002,3.493595736,2.498648032,
Sam Selman,295,4.07931685,4.802324348,,3.60475936,,,,
Dylan Bundy,2180,4.084215001,4.219690994,5.308173632,4.181433954,3.715020276,3.14419291,,
Tyler Kinley,377,4.084743182,5.488684952,,3.006915564,,,,
Patrick Sandoval,2455,4.086634067,4.59945354,4.540410927,3.221420619,4.422035029,3.952553599,,
Dominic Leone,826,4.089190509,4.27166715,,3.773535141,,,4.256493132,
Giovanny Gallegos,988,4.090968504,5.115920019,,3.008928842,4.487463191,,,
Andre Pallante,1753,4.094605622,3.993238848,6.282132109,3.48725004,,3.817746583,,
Eric Lauer,2676,4.096474014,4.200582606,,3.242601691,5.365026733,4.220846654,4.669768905,
Michael Grove,472,4.098241893,3.854361432,,3.907879732,,4.668981872,,
Trevor Gott,761,4.098578349,3.945668904,4.433326768,3.576691975,,5.201468759,3.825310767,
Kendall Graveman,1035,4.100628193,4.574878143,4.69471708,3.375729655,3.266929901,4.162036233,,
Aaron Civale,1588,4.105501155,5.582493186,6.407801753,4.027511588,,2.585979136,3.287010157,5.941984804
Anthony Misiewicz,465,4.111902434,3.811982897,,,,4.875298552,3.638856199,
Lucas Luetge,971,4.118870757,,,4.060703546,,4.994927632,3.931680928,
Germán Márquez,2839,4.120296037,4.538905681,4.853713588,3.575571059,5.691047838,3.044865206,,
Tanner Banks,897,4.132495808,4.740729285,,3.325125331,4.364506692,2.687642431,,
Brad Keller,2275,4.143521621,4.147967416,5.150596385,3.192341397,6.117072523,,,
Kenley Jansen,1006,4.146696091,,3.922690652,3.001832437,,,4.474773799,
Ryan Tepera,892,4.149906602,4.623486879,3.876972553,3.972792253,4.628138706,,,
Sergio Romo,336,4.151796129,,5.763508748,2.887337947,6.599833864,,,
Ranger Suárez,2564,4.153715731,4.532355087,4.19687771,3.691330493,4.319839187,3.380746963,3.605790293,
Enyel De Los Santos,845,4.162920856,4.214649543,,3.494369733,6.101936425,,,
Bryse Wilson,1823,4.163355583,4.547050881,3.801595543,3.931626548,5.279133531,3.301466382,,
Phillips Valdez,287,4.166064671,,5.834985369,2.924024797,2.732713968,,,
Reid Detmers,2181,4.175655868,4.345804049,4.838145844,3.80272088,5.010312455,3.677119743,,
Aaron Sanchez,1006,4.176921336,4.418436297,3.858645041,,5.058202916,4.092630126,,
Aaron Ashby,1878,4.178736337,6.9731305,5.101511024,3.746162798,3.15982189,3.716275677,,
Alex Lange,1046,4.180622623,5.528905412,4.950265258,3.225325435,4.704155147,3.504104934,,
Justin Steele,2032,4.181735768,4.466053671,4.543047312,3.396180906,4.920259915,5.580619496,,
Carl Edwards Jr.,1014,4.182790941,4.294183952,,,3.903707421,4.22886289,,
Tyler Danish,664,4.196006712,6.550718639,4.517703767,,4.518006694,3.545118519,,
Michael Fulmer,1043,4.201424484,4.460900775,5.939748584,3.644793653,5.45466356,6.450403773,,
Jordan Weems,738,4.203250661,4.552810723,,3.07695951,5.670387774,,,
Jeremy Beasley,271,4.21086731,4.436456102,,3.569632111,,,,5.780009084
Wyatt Mills,503,4.211070234,4.271364774,3.802162981,4.423153134,,,,
Joey Krehbiel,977,4.211167793,4.392471484,,4.221956773,4.201472709,,3.989969262,
Tony Gonsolin,2015,4.212974919,4.564739166,,3.913482806,,3.826448499,,4.121491705
Kevin Ginkel,479,4.213285966,5.000776639,,3.182997038,,,,
Kyle Nelson,593,4.214596723,4.261201183,,4.217565221,,,4.470781473,
Antonio Senzatela,1521,4.215328175,4.061916533,5.650066328,3.796599437,6.298477162,3.928380437,,
Joe Smith,450,4.218089313,4.687404264,3.507653926,4.773594495,,,,
Josiah Gray,2597,4.22974536,4.40414075,5.070956213,3.688810212,6.149058092,4.282094007,,
Cristopher Sánchez,662,4.234239578,,4.527635536,3.198170577,4.318344694,,,
Trevor May,465,4.236697998,4.455545932,,4.236085088,3.721333923,,,
Mike Baumann,580,4.24533007,4.006237142,,4.408552418,3.732993209,4.934586736,3.918137199,
Tucker Davidson,912,4.253803547,4.813919531,6.042772846,3.311657093,4.611725034,5.020125661,,
Dillon Peters,634,4.255498337,3.125097824,4.210943077,3.626197132,5.864993117,3.988965384,,
Adam Wainwright,3133,4.264601202,5.727707258,6.007626054,,4.399695112,3.072748457,3.300007908,
Chasen Shreve,474,4.264739024,3.773852757,,4.864739461,,,,4.576457781
Sam Long,739,4.265138761,3.770959179,,,5.195272636,4.276185254,,
JT Brubaker,2382,4.266421848,5.584210419,4.650575134,3.19833872,5.515471988,4.508633095,,
Andrew Chafin,899,4.271246444,4.620444646,4.389137454,3.838997478,,,,
Joe Kelly,703,4.28175519,5.960606643,5.917468584,,6.486836805,2.708802976,,
Tyler Duffey,741,4.283050537,4.386165321,3.962805171,,2.842110492,4.440505319,,
Lou Trivino,955,4.284129457,6.078514328,4.197580584,2.568474729,4.748880963,3.281115202,4.858951294,
Mauricio Llovera,306,4.287202018,4.298676763,4.792959558,4.047614657,,,,
Brayan Bello,997,4.290681174,5.76206658,4.294396338,3.069678556,4.323443801,,,
Martín Pérez,2979,4.292009597,4.929902805,4.506937993,5.056571557,4.142206737,3.465573539,4.142286115,
Sean Hjelle,474,4.295249023,,4.443974241,,4.650804082,4.211760515,5.238265956,
Keegan Thompson,1878,4.297991943,4.45636581,5.122532034,4.330803346,5.633550927,4.104747645,3.597507779,
Tyler Beede,1072,4.301555965,4.438648076,4.250329991,3.703348079,4.085243426,5.222737561,,
Eduardo Rodriguez,1469,4.309918749,4.012686339,6.015337656,3.114076021,3.416575565,,4.224710765,
Miguel Sánchez,211,4.314410877,5.043930311,,,4.822702713,,,
Michael Pineda,731,4.314807456,4.573664407,,3.866904194,4.402841821,,,
Adrian Sampson,1694,4.315258282,4.197009583,4.33812977,3.798310828,5.411982901,,3.65936842,
Colin Holderman,432,4.316105024,,4.727911212,3.577727368,,,4.543333281,
Génesis Cabrera,736,4.318361425,4.168318135,4.810490239,,4.671938611,4.010564184,,
Ryan Feltner,1675,4.318800835,4.489159989,4.603782099,3.578492475,5.762809969,4.558363715,,
Dany Jiménez,539,4.32003799,5.069134456,,3.886480905,,3.697972407,,
Anthony DeSclafani,329,4.32040606,3.579177436,4.001595563,4.779505077,3.377094328,3.692298814,7.306729943,
Josh Rogers,419,4.325606237,4.40473838,4.379311884,3.850422875,5.858283592,,,
Reyes Moronta,641,4.326096391,5.14509034,,2.732785176,5.898983326,,,
Wil Crowe,1380,4.327365273,4.387357205,5.329976205,4.045915181,3.840128074,5.118232204,,
Ron Marinaccio,757,4.3277144,4.992210296,,3.723082809,3.890127659,,,
Patrick Corbin,2623,4.327996,4.829418882,4.645658398,3.589927227,4.16992815,,,
Archie Bradley,305,4.332946914,4.319233336,3.024731791,,5.737233662,5.007350025,,
T.J. McFarland,487,4.340887887,,4.138449776,4.831495238,4.619202402,,,
Jake Bird,745,4.343046922,,4.953634661,,,3.480306554,3.788469802,
Adrian Martinez,1015,4.351979868,,4.985681036,4.095017551,3.430295214,,,
Daniel Lynch,2435,4.355867255,4.561686281,5.946875747,3.975308299,4.366522059,4.265236854,,
James Karinchak,704,4.357700446,4.184859379,,,,4.644400387,,
Andrew Wantz,831,4.359635107,4.819466712,,3.767023597,6.262022132,,3.434913652,
Ryan Borucki,415,4.364296562,,4.329730917,4.622699976,4.326004676,,,
Michael Lorenzen,1654,4.367499758,4.671386654,4.368571527,4.160456086,4.258262058,5.519044648,4.206949166,
Will Smith,985,4.373243429,5.118217453,,3.851763797,,3.929828189,,
Trevor Richards,1163,4.37490654,5.271656226,,,2.605030564,5.88882982,,
Chris Flexen,2204,4.378085009,4.984063324,,3.312321266,3.921489106,4.602223718,4.09608698,
Cal Quantrill,2920,4.379069811,5.787026072,4.769215728,4.823554879,3.880282693,3.876895485,3.917761852,
Bryce Elder,873,4.383635909,,5.040748792,4.122351001,4.317493521,,3.801245756,
Tanner Scott,1273,4.383827372,5.92081862,,3.451617696,,,,
Carlos Hernández,1035,4.386562347,4.996233192,6.358038796,3.032775329,4.273437619,4.026114318,,5.442590025
Josh Winckowski,1194,4.39155904,5.310702788,4.612760029,3.696275012,4.633021133,,4.131427832,
Ty Blach,674,4.394395298,,4.309929294,,5.601089766,4.33206796,3.343484389,
Davis Martin,1044,4.395375463,4.924622326,,3.525809417,4.467576526,4.765130379,,
Jordan Lyles,2988,4.398098226,4.387174266,4.497016787,3.131701673,5.816785139,5.3875096,4.7466885,
Craig Stammen,701,4.399883333,,4.659363368,4.872532067,,4.276053557,4.265052993,
Dennis Santana,991,4.402601936,4.329161117,5.084503112,3.587685885,4.981983574,,,
Nick Nelson,1204,4.40349764,4.361566576,,4.239576295,4.739419094,,,
Tyler Gilbert,564,4.405421581,4.653966753,4.558445345,,5.030421873,5.409686984,4.335502776,3.572000166
Mike Mayers,890,4.41067284,4.310621342,,4.298068074,5.974304029,,5.361969492,
Ross Detwiler,471,4.412276835,5.18457482,4.69012309,,,,4.372807202,
Alex Young,445,4.418637085,6.181958216,4.161296655,,4.562497207,4.445324817,2.919254298,
Roansy Contreras,1588,4.418688644,4.517475359,,3.921703804,6.124436827,4.863710765,,
Andres Machado,997,4.424618667,4.013904249,4.909428382,3.839249963,4.933774384,,,
Jake Odorizzi,1798,4.425178456,4.602003938,,3.759667244,,4.731535704,4.026935906,4.86751183
Jimmy Lambert,818,4.430968589,4.794131516,,4.042472723,3.704156975,5.561896213,,
Adonis Medina,414,4.431604305,6.207835463,3.291679582,4.123154503,5.117050103,3.627177321,,
Kyle Hendricks,1347,4.435703564,4.376994698,5.066119661,,3.822193295,4.511606943,,
MacKenzie Gore,1258,4.439258684,4.208436057,,5.222923646,6.446166699,3.942261774,,
Carlos Estévez,1021,4.440879956,4.718881522,,3.374968562,4.186765282,,,
Hirokazu Sawamura,840,4.44481418,4.944272513,,3.570717291,,,,4.147846423
Chase Silseth,501,4.44880419,4.805662012,4.619307397,4.930862611,,4.067772166,,4.027284397
Dakota Hudson,2253,4.451354689,4.595119622,4.620353487,3.916107682,6.26578158,4.278592186,,
Yunior Marte,856,4.452278455,5.744723938,5.038748219,3.016185831,,,,
Jesse Chavez,1202,4.45449433,5.396498559,5.500630724,,4.516016742,,4.117097633,
J.B. Wendelken,488,4.461001692,5.08023514,4.152830963,4.709341985,2.842034182,,,
Nick Pivetta,3082,4.462172584,4.258562577,,4.380804463,5.469709275,4.859369482,,
Joely Rodríguez,842,4.464475417,5.620142348,3.699003039,4.072266531,5.211664072,,,
Bennett Sousa,365,4.475419592,5.23591512,,3.99612284,,,,
Erich Uelmen,463,4.479522988,4.599523486,4.524413513,3.898592229,6.022803955,,,
Yerry De Los Santos,449,4.479803407,,5.364972888,3.358327251,,,,
Kaleb Ort,529,4.48053912,4.748589469,,4.267667986,5.606718671,,,
Yohan Ramirez,620,4.482005801,5.186482413,4.527711471,4.053343933,,,,
Javy Guerra,330,4.485373179,2.895492436,5.043646121,4.295942766,,,,
David Robertson,1060,4.488342125,,,4.696521176,,3.45491912,4.973303416,
Daniel Norris,1012,4.494221254,4.492069486,4.736835146,4.449919244,4.752329879,,,
Vince Velasquez,1286,4.494721539,4.335991191,5.710402013,4.070691796,5.474625327,4.546838642,,
Sam Coonrod,236,4.495589507,4.505906348,5.910282899,3.853200102,3.028524888,,,
Packy Naughton,562,4.49681282,4.715188811,4.862613891,4.739860001,3.73960242,,,
JoJo Romero,271,4.496992773,4.563913361,5.288588767,3.903533603,4.588267001,,,
Cole Ragans,706,4.499000931,5.472319326,,,2.730845041,5.768233075,4.919208346,
Michael Kopech,2011,4.502978277,4.546109908,,4.162915914,5.125768531,5.03518268,,
Zach Davies,2292,4.508597779,,5.098703836,,3.524742562,4.835550206,5.148048299,
Hansel Robles,422,4.518785941,4.400132507,4.254662632,4.709868044,5.017877599,,,
Lucas Giolito,2753,4.519323856,5.000860786,,4.719761452,3.264357972,5.855563818,,
Buck Farmer,855,4.522378475,5.575405027,,3.48557383,4.339145424,,,
Humberto Castellanos,748,4.524263884,5.384150388,4.683426279,4.854251569,4.198943371,3.664692803,,
Kyle Muller,233,4.541342864,5.529712083,,3.233335303,5.636098717,3.213755407,,
Edward Cabrera,1215,4.544665811,5.780539978,5.932522335,3.721533238,4.192070469,3.822530457,,
Chase De Jong,1174,4.549419314,4.922217365,,3.978639989,,4.717936184,,
Jonathan Heasley,1796,4.551342597,4.607408424,4.575340959,4.350638469,4.048586361,5.181802146,,
Devin Smeltzer,1129,4.553910242,5.36603369,,4.93017508,4.141906182,3.714647111,,
Josh Sborz,419,4.556938627,4.828598758,,4.762007337,,4.077924192,,
Heath Hembree,396,4.564043912,5.960789653,,3.255273712,,,,
Steve Cishek,1175,4.569575477,3.899625567,4.860638973,4.928142799,,,,
Jake Reed,307,4.574020386,,5.487354524,4.757127457,,,,
Cody Morris,404,4.58236877,4.914841862,,,5.087362538,4.434150834,3.869458342,
Aaron Loup,967,4.58429614,,4.184432591,,4.584981271,6.302305465,4.991959265,
David Peterson,1889,4.585862024,4.408090941,4.942109816,4.427880775,4.878649773,5.0183789,,
Ian Kennedy,867,4.586378489,4.310750654,,,5.61557012,6.702460087,5.391657809,
Aroldis Chapman,679,4.588229538,5.80211705,4.931488641,3.0001321,,,,2.548370773
Rony García,885,4.590757781,3.930556077,3.874079135,,7.785085278,4.942869109,,
Oliver Ortega,567,4.594471202,4.521813039,,,,4.99043496,,
Caleb Smith,1234,4.601275199,4.98288576,,4.172827203,4.148539268,6.175501699,,
Yusei Kikuchi,1844,4.603886282,5.056599534,,3.153577823,5.897790772,,4.734036873,
Taylor Hearn,1787,4.605664063,4.808746383,5.553998365,3.762542185,4.378212349,,4.549757891,
Pierce Johnson,280,4.606761134,5.600908404,,,,4.144028508,,
Kyle Freeland,2839,4.608960683,3.873160848,4.802302171,4.675837809,6.040069658,4.162356496,,
Reiss Knehr,242,4.612449088,4.538992175,4.726524632,3.577413896,7.442580814,5.081595522,,
Duane Underwood Jr.,1004,4.614885907,4.587736618,4.736132331,,5.392623278,5.107037021,3.632684985,
Anthony Gose,389,4.618481227,4.961662874,,3.980062688,,,,
Zach Thompson,2080,4.622057604,5.804284086,4.791543678,,4.690114013,4.874371285,3.739005173,
Spencer Howard,692,4.628305486,5.491193143,4.823764124,,5.903348864,3.29973127,3.817331614,
Art Warren,655,4.628810883,5.400041806,,4.077643233,,,,
Adrian Houser,1848,4.631241439,5.603889276,4.502734802,3.528721832,5.206457811,4.562352997,,
Jackson Kowar,311,4.641871189,5.440001432,,5.717952215,3.633707585,,,
Adam Kolarek,318,4.642053568,,4.38908671,5.312366009,5.767567927,,,
Jackson Stephens,944,4.655420434,5.398605291,4.337971574,4.746247255,4.900053903,3.869545518,,
Amir Garrett,804,4.658733592,5.578250237,4.200095492,4.176099604,,,,
Thomas Szapucki,291,4.673649089,5.004541892,,,,5.438575231,,
Calvin Faucher,433,4.680932164,,6.370563904,2.5291695,,5.185901196,5.816291711,
James Kaprielian,2230,4.681985884,5.551261187,4.263315134,3.497605779,4.136427665,4.057057344,,
José Ureña,1622,4.682993151,5.807434355,4.693387208,3.670169015,5.712105656,,,
Bryan Shaw,969,4.690807931,5.3000335,,4.33197186,6.869312386,4.59170094,4.597647752,
Kris Bubic,2262,4.691281341,4.86284115,,,4.562600858,4.456492098,,
Justin Grimm,277,4.701320482,5.69614249,,4.304661924,,3.386397951,,
Zach Plesac,2153,4.702541998,5.034213017,,4.033791503,4.545993523,5.287933142,,
Brandon Bielak,226,4.707318074,4.035169208,5.006215263,4.67036746,4.115432759,6.407807128,,
Brad Boxberger,1090,4.709345341,5.399154287,,4.055975101,3.680403124,,,
Erick Fedde,2420,4.711328221,7.136944072,5.517532581,,5.84788468,3.585967286,4.394390376,
Jhoulys Chacín,786,4.713722122,5.402072652,5.289135862,4.607450266,4.918255841,3.756884613,,
Luis Patiño,388,4.716601944,4.769663799,6.389365105,4.373223393,4.706250705,,,
Elvin Rodriguez,534,4.720626145,4.82934365,,4.354077827,5.388616811,5.359248962,,
Trevor Kelley,460,4.72231325,,4.74559975,2.665470474,5.962842762,4.74341454,,
Dane Dunning,2548,4.723394245,,4.460362106,5.189218749,4.832783317,,4.490240696,
Drew Steckenrider,286,4.730206689,4.955536,,,3.698471193,5.886407,,
Mitch White,1715,4.732184516,5.140018831,5.759363557,3.521406884,5.111351897,5.097259805,,
Cole Sulser,619,4.738128213,4.384645976,,4.146158694,5.471535153,,,
Noé Ramirez,837,4.740362549,5.078823107,,,5.313061262,3.799890313,,
Jake Cousins,267,4.740761662,,5.121110299,4.512371195,,,,
José Ruiz,1115,4.750206581,5.196954113,,,4.08484538,4.536100915,,
Joey Wentz,555,4.754547898,4.981769969,,,5.020604897,5.384475964,3.634524358,
Madison Bumgarner,2715,4.758611471,5.226403113,,,5.903784454,4.72376804,4.131468168,
Jose Cuas,687,4.764892848,,4.628885606,5.25332718,,,,
Junior Fernández,333,4.782963344,2.691575651,5.159483252,4.532628304,6.506071511,,,
Nick Wittgren,481,4.786796307,5.657131064,4.838689833,5.139315835,4.294450519,,3.688211549,
James Norwood,370,4.787719873,6.147503872,3.737752,,,,,4.242149362
Glenn Otto,2229,4.793959409,5.179058364,5.774192617,3.544053062,5.157961434,4.680591166,,
Mike Minor,1750,4.79976981,5.030312755,,4.72055825,4.287654278,5.213654023,,
Luke Weaver,721,4.805716399,4.869630084,,5.04944639,4.988132824,4.813326355,4.382211801,
Corey Knebel,795,4.812706563,4.684190991,,,,5.109899955,,
Tyler Matzek,713,4.81331652,4.89358923,,4.630912226,,,,
Alex Colomé,803,4.82144717,6.31782134,,,,,4.545567072,
Louis Head,546,4.826913523,5.387050932,,4.411684682,5.693202666,,,
Tommy Henry,773,4.827544841,5.002481849,,4.257479423,6.28038659,4.231960607,,
Adam Oller,1294,4.840795816,4.963171519,5.316411319,4.764175939,4.805759753,4.360287106,4.526962669,
Jack Flaherty,662,4.843630897,5.491504891,5.343468192,4.816480538,,3.781871555,,
Albert Abreu,707,4.844655793,6.074542263,4.537970619,4.32303964,4.993859779,,,
Bryan Garcia,317,4.849080445,,5.193009664,5.371102808,3.769956779,,,
Max Castillo,697,4.849958775,5.151184976,2.720713754,4.665220034,4.796087014,4.844261944,,
Lucas Gilbreath,796,4.855282096,5.127889485,,4.379963464,,,,
Andrew Bellatti,963,4.87726242,4.895717294,,4.635504774,6.886051477,,,
José Cisnero,430,4.879494629,4.186545189,6.059666642,3.976709516,6.712355096,,,
Jackson Tetreault,365,4.879853748,5.439832046,,,,5.784089338,3.961239678,
Edwin Uceta,292,4.883510365,,5.61977803,,3.708100354,4.916470212,,
Garrett Hill,1019,4.888983289,5.086711757,4.773909185,4.738515808,5.356616414,4.653267827,3.356913516,
Vladimir Gutierrez,684,4.897696339,5.253360455,,3.225877695,5.460082766,5.290541588,,
Touki Toussaint,431,4.899738513,,6.107354679,,,3.492341908,,6.158561561
Jharel Cotton,741,4.906103445,5.057490009,,5.307156286,4.783289594,3.65274266,,
Robert Dugger,284,4.918669224,4.98513041,6.063727234,3.5910228,5.942461743,3.897718241,,
Matthew Liberatore,650,4.920305399,4.965583165,5.742604019,3.699705771,4.904592393,4.679592398,,
Drew Hutchison,1759,4.925728327,5.538470567,6.053930525,3.800437701,5.305988517,,,
Austin Davis,1118,4.92653329,5.576751388,,4.188591213,5.146473142,,,
Mark Leiter Jr.,1086,4.937303665,4.794634058,4.731107182,4.003198135,6.579119318,3.778998491,4.432592531,
Tony Santillan,408,4.95734121,4.711218035,,5.198684911,,,,
Gregory Soto,1102,4.970042866,5.044057734,5.185803754,4.621804791,,,,
Jeurys Familia,817,4.991362493,5.346406216,4.606261517,5.091912805,,,,5.80498319
Alec Mills,302,4.997896158,6.516266782,4.096557613,6.210916136,4.7699896,3.653322939,,
Chad Kuhl,2375,5.012493496,6.043097561,5.328262561,4.06992182,7.327782204,4.94601611,,
Hunter Strickland,1099,5.016250202,5.959264277,5.113479992,3.912766799,5.949080696,,,
Matt Barnes,693,5.036147045,5.368526372,,,4.146594907,4.894419084,,
Chris Archer,1787,5.041679481,5.284664273,,4.822615396,5.323417057,4.449952622,,
Corbin Martin,429,5.051358579,5.29475191,,4.972541437,6.586368696,3.644836257,,
Jake Diekman,1172,5.078379372,5.659406013,4.753721784,4.693946866,,,,
Bryan Hoeing,267,5.11638541,,4.631266415,4.879463173,6.397805967,8.262156498,,
Javier Assad,690,5.119017609,5.040353174,5.852668101,4.411977617,7.071729424,4.35669988,4.208485065,
Zach Logue,1022,5.120582982,5.422657793,,5.381300467,5.353930365,4.019306637,5.110000168,
Ian Anderson,2005,5.123343488,5.435702003,,,4.862767476,4.91681385,,
Eric Stout,450,5.137718428,6.287505608,,4.308974402,5.181163105,6.542282016,,
Wily Peralta,694,5.146810117,6.827579324,6.577171308,3.381856692,,,,3.985014278
Cory Abbott,845,5.159980774,5.341747206,,5.236004434,5.157205178,4.665336543,,
Chase Anderson,493,5.166525523,6.890173584,7.782961925,,2.532561527,6.904867373,5.348259612,
Jared Koenig,653,5.178508177,6.713665332,5.065853838,,6.053527583,4.457745245,5.894943689,
Jhonathan Diaz,236,5.216664853,6.927883707,5.5303176,4.020084646,4.690565183,4.950981536,,
José Álvarez,273,5.238300655,,6.326851232,3.420340275,4.92768282,,,
Taylor Widener,329,5.261303241,4.939439528,,5.509637646,6.824560646,,,
Andrew Nardi,374,5.263552926,6.45722551,,3.713612298,,,,
Konnor Pilkington,1039,5.28580659,5.005518691,6.106324731,5.57371019,5.617603117,6.033108495,,
Danny Coulombe,230,5.290948816,5.483627794,,5.707238687,5.732364062,5.369179222,,
Aníbal Sánchez,1232,5.293474344,5.929353981,6.31431997,4.019199318,4.610180195,5.129420263,5.193703435,
Josh Staumont,731,5.295411372,5.532078375,4.940387317,,,5.255432315,,
Zach Jackson,887,5.297385534,6.210077458,,4.312978211,,,,
Brad Hand,817,5.300237359,6.648530292,3.883636337,5.011744263,,,,
David Phelps,1151,5.328362909,5.25024521,6.163225237,,3.923220046,5.093697314,5.695765952,
Anthony Banda,551,5.35125618,5.112681387,5.561831988,,5.408122496,5.945313494,,
Tayler Scott,255,5.361595154,4.966710955,6.251817899,4.994633534,,,,
Drew VerHagen,419,5.362971849,7.02352164,5.249054669,3.15910328,6.035573692,5.806369904,,
Dallas Keuchel,1165,5.366935478,5.829631591,5.240922801,5.875328196,5.45582087,,5.216602996,
Connor Seabold,370,5.367748052,4.877211789,,6.508488366,6.21098188,,,
Tyson Miller,228,5.386016607,5.880621198,8.650806092,4.786044969,,6.335256272,,
Anthony Castro,260,5.391929626,6.898342085,,4.556354091,,,,
Dinelson Lamet,583,5.425352745,6.293936634,6.854286268,4.741095282,,,,
Alex Faedo,967,5.427588421,6.273772811,,4.12103018,5.548708646,,,
Ashton Goudeau,375,5.442440095,5.690832835,,,4.285307906,5.66041665,,
Matt Swarmer,657,5.466182484,7.049833395,,4.586275025,,,,
Yennier Cano,394,5.475269318,,6.182394393,4.756363811,5.223367665,,,
Paul Fry,232,5.493022625,5.329156592,,5.145223177,6.851032535,,,
Jimmy Yacabonis,292,5.494485038,,5.260917853,6.369275244,,,,
Jacob Lemoine,298,5.518812841,6.133855649,5.498924314,5.335054567,5.626866958,,,
Ronald Bolaños,332,5.536741499,6.915387817,6.934217469,4.421334397,,4.374378051,,
Travis Lakins Sr.,208,5.574989688,4.931931533,,3.233950746,7.014449495,6.243765103,6.644829089,
Blake Taylor,305,5.620426655,5.731010585,,5.304072628,,,,
Tyler Thornburg,362,5.6646335,5.607522545,,5.223130219,5.653527864,5.939288833,,
Joan Adon,1204,5.667874995,5.820446982,5.853688685,5.430160272,5.287313024,5.27868506,,
Kervin Castro,239,5.674044429,5.346806448,,,,5.78828741,6.783501949,
Sean Newcomb,552,5.701818259,5.912886881,,,,7.964353576,5.147977793,
Norge Ruiz,366,5.707748012,5.994369745,,5.341232838,5.791016562,,,
Justin Dunn,540,5.718476326,6.290114853,,5.447223403,6.305767688,4.54709304,,
Ryan Pepiot,737,5.733055325,6.049028562,,5.078032081,6.046633071,,,
Cole Sands,603,5.756516498,6.296876865,,5.037542175,6.199243339,4.788052499,5.828278526,4.551286034
Luis Frias,356,5.795018813,6.46782605,,5.295118467,,,,
Jeff Hoffman,848,5.833642533,6.009980726,,5.741730273,5.602193344,,,
Luke Farrell,285,5.862632751,7.089670568,,4.371335463,,7.05429287,,
T.J. Zeuch,250,5.966687322,,6.119759206,4.32765905,7.431567181,,8.27594474,
Cam Vieaux,208,6.012655405,5.756746794,,5.036013913,8.776898066,,,
Huascar Brazoban,631,6.025982857,6.205215778,6.585331829,,6.909782433,,5.397496573,
Kohei Arihara,390,6.067984009,,6.802633345,6.04555147,5.372610516,,6.627259021,6.59675428
Domingo Tapia,363,6.232781354,5.592733919,6.299398028,5.618531062,7.505946986,,,
Chad Smith,337,6.289271037,,7.051475869,5.112197656,,,,
Kodi Whitley,272,6.353977806,6.602609231,,4.892431319,6.702934589,,,
Miguel Yajure,471,6.463940346,6.66096498,5.997620527,6.02847238,5.857776338,7.015498329,6.351230037,
Caleb Kilian,235,6.707365373,5.915973525,7.621922318,,,7.575517692,5.591028466,
Francisco Perez,205,7.137009694,8.196559507,,5.796155086,,,,
Anderson Espinoza,375,7.72783647,8.261456749,,6.300958961,,,,
José Marte,265,8.690181385,11.38950057,7.883745597,,,,6.804266361,
