Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Yu Darvish,1153,3.481293126,3.419494554,4.80185272,2.670530275,,3.435058579,3.26995145,5.380213146,5.55082,0.539393939,0.218181818,0.242424242,0.296969697
Zac Gallen,1117,3.482814153,4.448961302,,,2.40766518,2.500645275,3.609033969,,5.2474403,0.44015444,0.239382239,0.32046332,0.11969112
Max Fried,899,3.494449888,4.075311318,3.050593477,2.495127657,3.916719818,3.347493583,,,5.133684,0.479591837,0.196428571,0.323979592,0.155612245
Luis Castillo,1153,3.498083714,4.662647753,4.001226431,2.925531778,2.339427909,,,,5.1923065,0.437275986,0.23297491,0.329749104,0.107526882
Clayton Kershaw,888,3.504201311,4.384878228,,2.918972744,,2.861879574,,,5.466559,0.514124294,0.192090395,0.293785311,0.220338983
Josh Fleming,470,3.516231419,,3.460422791,3.000748872,4.912136146,,,,5.3878517,0.532374101,0.194244604,0.273381295,0.258992806
Blake Snell,872,3.519599915,3.781526147,,2.22445149,3.424830629,4.046420567,,,5.810651,0.589147287,0.162790698,0.248062016,0.341085271
Dylan Floro,371,3.54782209,,4.3454629,3.78750053,2.11274353,,,,5.162843,0.418803419,0.230769231,0.35042735,0.068376068
Adrian Morejon,322,3.552100872,3.447344005,4.478692858,2.977150144,2.410643035,2.447880567,,,5.38491,0.583333333,0.208333333,0.208333333,0.375
Aaron Loup,341,3.563773804,,3.298965462,,3.834329135,5.345329908,3.323644506,,5.1979856,0.535294118,0.176470588,0.288235294,0.247058824
Phil Maton,379,3.565317007,3.565267627,,,,3.637091451,3.577875903,,5.398006,0.538461538,0.145299145,0.316239316,0.222222222
Jake McGee,332,3.567948889,3.678754755,,,,,,,5.286711,0.5,0.211180124,0.288819876,0.211180124
Aaron Nola,1148,3.574075431,4.392785106,5.417801605,,3.54132726,1.823184938,,,4.6899633,0.351351351,0.207207207,0.441441441,-0.09009009
Dustin May,866,3.575793675,3.124740942,3.661240424,,4.954829296,2.321096745,3.907403042,,5.1400313,0.479262673,0.184331797,0.33640553,0.142857143
Walker Buehler,600,3.590146013,3.309844767,5.734583681,2.546515785,,3.918215618,3.676545622,,5.2109194,0.477272727,0.204545455,0.318181818,0.159090909
Tanner Scott,345,3.605031783,4.508340789,,2.418168206,,,,,5.717888,0.574626866,0.134328358,0.291044776,0.28358209
Matt Strahm,308,3.608220993,3.693974948,1.133337383,4.916859029,7.490902833,3.77245506,,,5.13758,0.507462687,0.28358209,0.208955224,0.298507463
Darren O'Day,261,3.614069413,3.374654411,4.704391888,3.50516071,,,,,5.318617,0.5625,0.142857143,0.294642857,0.267857143
Mike Clevinger,649,3.618587036,3.302786528,,3.317214504,5.645679895,4.027017947,3.867928988,,4.55161,0.381818182,0.2,0.418181818,-0.036363636
Trevor Bauer,1165,3.63436806,3.150856593,4.349265192,3.784561779,,3.876959696,4.069983339,,5.127403,0.43776824,0.21888412,0.343347639,0.094420601
John Means,745,3.651651048,4.147862725,,3.798455518,2.389720066,4.039380282,,,5.7435493,0.570680628,0.188481675,0.240837696,0.329842932
Ryan Yarbrough,834,3.668295763,,3.972081513,,3.961424407,2.244317499,3.649007946,,5.077115,0.424,0.188,0.388,0.036
Elieser Hernandez,453,3.682017933,4.81179111,,1.280009042,8.536219827,,,,3.9020422,0.1,0.4,0.5,-0.4
Ryan Brasier,424,3.704835815,3.742333905,,4.120171884,3.495814311,,,,5.311627,0.5,0.239837398,0.260162602,0.239837398
Zach Eflin,913,3.706645384,4.189465379,4.104531735,3.290577434,3.677771353,2.311812247,,,5.043239,0.38,0.27,0.35,0.03
José Urquidy,429,3.708457432,3.853549486,,2.879580965,3.303900124,4.616875697,,,5.2697234,0.568181818,0.136363636,0.295454545,0.272727273
