Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Cal Quantrill,505,4.481782913,6.375011014,4.701462642,3.623981277,3.520057274,,,,5.298782,0.448979592,0.204081633,0.346938776,0.102040816
Craig Kimbrel,300,4.4859989,4.171691554,,,,5.006136166,,,5.1228995,0.477876106,0.212389381,0.309734513,0.168141593
Luke Weaver,968,4.500575432,4.726023422,,,4.263081902,5.005342725,4.6003488,,5.169759,0.406779661,0.211864407,0.381355932,0.025423729
Craig Stammen,377,4.501914978,,4.355596697,5.577095909,,4.510064478,,,5.0081487,0.43902439,0.178861789,0.382113821,0.056910569
Colin Rea,241,4.50273977,4.024983794,5.785498168,,,5.529679636,4.915977463,4.283255611,4.9636846,0.378378378,0.135135135,0.486486486,-0.108108108
Mike Minor,979,4.50288445,4.679806333,,4.441894541,4.655837799,2.790601521,,,5.0498962,0.439814815,0.148148148,0.412037037,0.027777778
Carlos Carrasco,1101,4.504714966,4.814838516,5.980077421,5.132440363,3.094225013,5.498780172,,,4.514727,0.285714286,0.232142857,0.482142857,-0.196428571
Kyle Freeland,1124,4.508407305,4.799568891,4.803976675,4.513904583,4.550374583,3.993846316,,,4.8754973,0.471698113,0.141509434,0.386792453,0.08490566
Randy Dobnak,748,4.513064575,5.557678768,5.155924644,3.503580039,3.912854034,4.430731418,,,4.635887,0.363636364,0.121212121,0.515151515,-0.151515152
Taylor Clarke,703,4.514152292,4.639963124,,3.566792731,5.428078629,5.10061391,,,4.7009845,0.392857143,0.151785714,0.455357143,-0.0625
Tommy Milone,697,4.516792102,5.093549565,,5.678568436,3.54417914,5.534966674,,,4.834364,0.28,0.4,0.32,-0.04
Héctor Neris,399,4.517972858,5.778560985,5.054307227,,,,,3.298471201,4.8124657,0.394117647,0.223529412,0.382352941,0.011764706
Richard Rodríguez,392,4.528244346,4.44839744,3.436248104,5.510398187,,,,,5.075111,0.463414634,0.204878049,0.331707317,0.131707317
Thomas Eshelman,529,4.530268302,4.863731374,5.206766205,4.26822902,4.012736048,4.311432821,,,4.995135,0.381818182,0.227272727,0.390909091,-0.009090909
Jake Diekman,354,4.531981945,5.227846023,6.872762178,3.263655689,,,,,5.4401336,0.496503497,0.216783217,0.286713287,0.20979021
Miguel Castro,475,4.533246942,,4.933306548,2.829682379,6.550748387,,,,5.7066946,0.533783784,0.22972973,0.236486486,0.297297297
Derek Holland,719,4.533778081,,4.755608338,,2.678457748,5.211491308,,,4.9144473,0.410447761,0.22761194,0.361940299,0.048507463
Justus Sheffield,880,4.537953848,,5.205455944,3.596216021,4.625380599,,,,5.282314,0.483221477,0.204697987,0.312080537,0.17114094
Jake Arrieta,729,4.538892703,,4.934850299,4.130397779,4.044939637,4.416706568,,,4.885798,0.444736842,0.152631579,0.402631579,0.042105263
Alec Mills,945,4.54745614,5.673557764,4.02957894,4.587244076,4.395817911,3.900190192,,,4.488503,0.345679012,0.230452675,0.423868313,-0.0781893
Patrick Corbin,1068,4.549060647,5.493228146,5.607189891,3.53235172,3.581534255,,,,5.3140044,0.442307692,0.346153846,0.211538462,0.230769231
Edwin Díaz,483,4.549852842,4.305021044,5.965594561,4.326776718,,,,,5.2681456,0.504464286,0.15625,0.339285714,0.165178571
Jordan Weems,222,4.558166776,5.118095066,,4.409274306,3.005696468,,,,5.478355,0.558139535,0.069767442,0.372093023,0.186046512
Michael Pineda,455,4.561033058,5.778552212,,3.626688023,2.367108531,,,,5.355058,0.52,0.2,0.28,0.24
Tony Gonsolin,705,4.561428942,4.30546305,,3.53728486,,6.739150863,,5.140176773,4.103382,0.2,0.15,0.65,-0.45
Jeurys Familia,455,4.566720772,5.37730363,4.5166481,3.998419536,,,,5.632311404,5.2382903,0.413533835,0.248120301,0.338345865,0.07518797
Zach Davies,1055,4.569703762,,5.560286286,,3.534793114,5.213302007,4.762705446,,4.5357714,0.318295739,0.182957393,0.498746867,-0.180451128
Ross Detwiler,311,4.580153255,6.24287825,3.741675585,4.299855848,5.16642081,,,,4.7432275,0.321428571,0.142857143,0.535714286,-0.214285714
Luke Jackson,488,4.586103898,6.457108538,,3.193965012,,4.483412496,,,5.1975937,0.488095238,0.25,0.261904762,0.226190476
Trevor Richards,576,4.591460705,5.294396649,,,3.278134266,5.068628141,,,5.5181766,0.541899441,0.145251397,0.312849162,0.229050279
Daniel Castano,474,4.61319827,4.702121972,5.369232965,4.067281541,4.776677974,,,,5.1299024,0.459016393,0.196721311,0.344262295,0.114754098
Triston McKenzie,550,4.614364014,4.621297999,,4.905399058,4.754221028,4.157495279,,,5.143801,0.406593407,0.307692308,0.285714286,0.120879121
Tyler Mahle,852,4.617681757,4.776699511,,3.878354164,5.466294383,,,6.650560557,4.5000644,0.420289855,0.115942029,0.463768116,-0.043478261
Alex Cobb,807,4.617970363,5.289614966,,,,4.100111383,,3.94653676,5.1225743,0.482394366,0.165492958,0.352112676,0.13028169
Archie Bradley,276,4.639247547,5.329843353,,,3.336378125,4.251740457,,,5.3064666,0.4,0.233333333,0.366666667,0.033333333
Jimmy Herget,350,4.639269166,5.906457913,6.931633209,3.5395115,,3.092870793,,,5.562815,0.5,0.166666667,0.333333333,0.166666667
Jordan Montgomery,747,4.639764959,6.163000015,4.531394362,4.588342923,4.116713862,3.861925383,4.85443467,,5.0457497,0.294117647,0.411764706,0.294117647,0
Carlos Estévez,436,4.641637802,4.762254041,,3.965504275,5.606745574,,,,5.3243394,0.495798319,0.243697479,0.260504202,0.235294118
Travis Lakins Sr.,470,4.64473982,6.425435058,,,,4.058525368,4.06211029,,5.305329,0.516666667,0.205555556,0.277777778,0.238888889
Drew Smyly,482,4.65361332,4.816822257,,,,4.253214177,5.629324878,,5.083825,0.484444444,0.222222222,0.293333333,0.191111111
Taijuan Walker,884,4.659865665,5.195957189,6.484655576,2.011745685,,5.225043839,3.560496902,3.631819582,5.342955,0.506410256,0.205128205,0.288461538,0.217948718
Sergio Romo,364,4.665169525,6.290346998,6.970019496,3.935638113,8.140730782,,,,5.335277,0.502369668,0.165876777,0.331753555,0.170616114
Jake Woodford,360,4.666572207,4.381423752,,4.479337532,,6.875464074,,,5.0938206,0.484536082,0.164948454,0.350515464,0.134020619
Chris Mazza,538,4.684679159,5.884231442,5.922683845,4.154161155,,,3.745629343,,5.37483,0.551282051,0.173076923,0.275641026,0.275641026
Andrew Miller,205,4.688136761,6.400367319,,4.360354004,,,,,4.3189116,0.323076923,0.246153846,0.430769231,-0.107692308
James Hoyt,244,4.693934181,7.57825584,7.40106094,5.81563746,,,,,4.109909,0.321428571,0.107142857,0.571428571,-0.25
Kyle Gibson,1139,4.694237737,5.141077772,6.163890838,3.793872462,3.15066941,3.880153709,,,5.2648726,0.473684211,0.263157895,0.263157895,0.210526316
Amir Garrett,299,4.701209606,6.019701448,5.126920677,3.823398375,,,,,4.5160174,0.271028037,0.280373832,0.448598131,-0.177570093
Blake Taylor,341,4.707911091,4.751428036,,4.556173965,,,,,5.0142994,0.381578947,0.223684211,0.394736842,-0.013157895
Ross Stripling,815,4.712221403,5.264085927,,3.65542048,3.555869978,5.19516256,,,5.340642,0.510948905,0.226277372,0.262773723,0.248175182
Brad Hand,363,4.714451877,5.316136848,4.567922389,4.346583593,,,,,5.0104833,0.425531915,0.255319149,0.319148936,0.106382979
Erick Fedde,850,4.71458718,4.354990232,5.621396548,,,3.097725558,5.367162843,5.054111656,4.7101765,0.322916667,0.21875,0.458333333,-0.135416667
Joakim Soria,377,4.71828529,5.172117458,,4.246560081,5.197538668,,,,4.852103,0.408,0.18,0.412,-0.004
Will Smith,252,4.718547344,5.46601559,,4.716235113,,,,,4.6342106,0.403508772,0.131578947,0.464912281,-0.061403509
Trevor Rogers,568,4.724662236,4.837131974,6.722020124,4.811595821,2.570247413,,,,5.2162595,0.534615385,0.138461538,0.326923077,0.207692308
Tony Watson,280,4.728114234,,3.994964287,4.530304259,6.092607004,,,,4.9333577,0.461538462,0.102564103,0.435897436,0.025641026
Dakota Hudson,589,4.730064979,4.275007349,4.504194901,5.716144692,5.376330606,4.490525356,,,4.4657044,0.434782609,0.07826087,0.486956522,-0.052173913
JT Brubaker,804,4.739629611,7.132258703,5.098135359,3.449612385,5.651326705,4.623050097,,,4.885629,0.405063291,0.202531646,0.392405063,0.012658228
Bryan Garcia,332,4.748539264,,5.262902367,3.680130904,4.634387319,,,,4.653431,0.384615385,0.216346154,0.399038462,-0.014423077
Josh Staumont,472,4.749324551,4.337257261,4.367243882,,,5.819999312,,,5.221436,0.396551724,0.275862069,0.327586207,0.068965517
Hansel Robles,317,4.754027252,4.897840292,,4.030708721,5.482005258,,,,4.9494934,0.377192982,0.192982456,0.429824561,-0.052631579
Mike Fiers,916,4.756170758,5.131932414,5.918727216,3.883783005,3.240165868,6.244839684,,,4.4510207,0.285714286,0.246753247,0.467532468,-0.181818182
Corbin Burnes,1010,4.758286119,6.056338452,6.352856035,4.142825204,5.117479972,2.731260573,3.822507602,,5.6294794,0.482758621,0.229885057,0.287356322,0.195402299
Carlos Hernández,255,4.766180212,6.4881824,4.318776479,,3.14092735,5.470736113,,,5.1629305,0.495327103,0.196261682,0.308411215,0.186915888
Patrick Sandoval,598,4.768837114,5.472738697,,3.396477394,5.352275106,3.357552054,,,4.7353535,0.386861314,0.175182482,0.437956204,-0.051094891
Chasen Shreve,422,4.772076416,5.419406416,,6.077921066,3.085880604,,,4.137044707,4.56444,0.387096774,0.258064516,0.35483871,0.032258065
Matt Wisler,453,4.786380868,6.415902705,,5.091331294,,2.737540504,,,4.5712295,0.322033898,0.322033898,0.355932203,-0.033898305
Giovanny Gallegos,229,4.790835063,5.334848099,,4.398862041,,,,,4.949966,0.405172414,0.224137931,0.370689655,0.034482759
Tyler Webb,346,4.804092055,4.8330528,5.828085184,,5.138727407,3.103940017,,,4.872183,0.433823529,0.205882353,0.360294118,0.073529412
Josh Osich,304,4.807220182,5.647324954,5.48504053,5.328505301,,,4.029670045,,4.771966,0.404255319,0.127659574,0.468085106,-0.063829787
Cody Ponce,265,4.813919067,6.798123525,5.52682088,-0.010171862,3.044141488,4.693118166,3.954823647,,5.1344953,0.418604651,0.186046512,0.395348837,0.023255814
Adrian Houser,922,4.817496164,5.948893278,4.284612664,4.021706126,5.326222556,5.218669372,,,5.1850753,0.469026549,0.17699115,0.353982301,0.115044248
Tyler Alexander,599,4.817618274,6.061210031,5.469974567,3.919163861,4.348630117,4.751919999,3.036143151,,4.9494276,0.463414634,0.158536585,0.37804878,0.085365854
Josh A. Smith,426,4.820890596,4.26170187,6.956970924,4.653719861,,4.409480462,,,4.1893663,0.3,0.2,0.5,-0.2
Lou Trivino,370,4.833462197,6.415657602,4.294266709,,2.990065041,2.718603863,4.747654196,,4.889581,0.395348837,0.197674419,0.406976744,-0.011627907
Rick Porcello,983,4.83438731,5.707763857,4.890380065,4.401068526,5.336558236,4.088846647,,,4.9210925,0.417050691,0.216589862,0.366359447,0.050691244
Keynan Middleton,210,4.83490626,4.445220025,,4.765415293,6.670635248,,,,5.13285,0.520661157,0.148760331,0.330578512,0.190082645
Danny Duffy,943,4.837800336,4.25469403,5.803922348,4.723165093,5.092464521,5.303901097,,,4.796082,0.37593985,0.180451128,0.443609023,-0.067669173
Brett Anderson,753,4.846706309,5.170618348,5.762127729,4.658893563,4.035813203,2.969730046,5.403289119,,5.500795,0.565789474,0.276315789,0.157894737,0.407894737
Trevor Cahill,456,4.85420929,6.591651803,4.734113328,,5.283583374,6.194267765,4.119320374,,5.1031947,0.462184874,0.168067227,0.369747899,0.092436975
Taylor Widener,364,4.863033676,4.869952048,,5.491501351,3.504794323,,,,5.060135,0.489451477,0.181434599,0.329113924,0.160337553
Josh Hader,372,4.869310479,4.800274909,,5.05642297,,,,,5.1100955,0.470588235,0.176470588,0.352941176,0.117647059
Dillon Tate,285,4.870547333,5.092776677,5.0664077,4.006251478,5.69245361,,,,4.906306,0.410526316,0.178947368,0.410526316,0
Alex Colomé,367,4.872030685,5.815502717,,,,,4.51611824,,4.5975146,0.346153846,0.221153846,0.432692308,-0.086538462
Gregory Soto,394,4.885426729,6.677978796,5.182268764,2.991164326,,,,,5.558414,0.4875,0.1875,0.325,0.1625
Eric Yardley,410,4.888217599,,4.905382903,,,5.342528903,,,4.864687,0.397163121,0.141843972,0.460992908,-0.063829787
Michael Lorenzen,608,4.891959011,5.240648019,7.116315946,5.386185349,3.955835391,5.17294757,3.315906967,,4.9590473,0.325581395,0.255813953,0.418604651,-0.093023256
Trevor Williams,1017,4.89525687,4.077905599,4.795446343,6.163264197,5.827685834,3.784748801,,,5.095869,0.476744186,0.162790698,0.360465116,0.11627907
Yency Almonte,446,4.897983045,5.144554061,,4.63146481,5.013252557,,,,4.783836,0.378947368,0.210526316,0.410526316,-0.031578947
Keegan Akin,500,4.900375564,4.872355403,,5.585369519,4.682079137,,,,5.2060943,0.529411765,0.117647059,0.352941176,0.176470588
Frankie Montas,914,4.901349338,5.051844146,5.930031732,3.415272371,,,,4.449968228,5.111266,0.43220339,0.245762712,0.322033898,0.110169492
Jeffrey Springs,405,4.904373419,,5.327489994,5.726842998,3.277098743,,,,5.0607195,0.510526316,0.131578947,0.357894737,0.152631579
Jorge López,635,4.90672224,6.200309105,4.476711834,,5.346775445,4.570359158,,,4.453281,0.411764706,0.168067227,0.420168067,-0.008403361
Greg Holland,447,4.91775028,4.844711031,,5.065046569,,4.686740306,,,4.77355,0.394736842,0.201754386,0.403508772,-0.00877193
Iván Nova,284,4.918117322,6.042956853,4.860481458,,5.272871761,4.260992396,,,4.6035857,0.363636364,0.25,0.386363636,-0.022727273
Tyler Kinley,371,4.926435874,6.302303855,,4.138746747,6.273679894,,,,4.349296,0.238095238,0.333333333,0.428571429,-0.19047619
Wade Miley,285,4.930568784,9.184907062,,,5.237260148,6.224090863,4.146477903,,4.0184817,0.137931034,0.275862069,0.586206897,-0.448275862
Nick Margevicius,679,4.940064092,4.786740723,,4.56274963,6.937501001,4.859874393,,,4.230824,0.228070175,0.157894737,0.614035088,-0.385964912
Kenley Jansen,446,4.940638607,5.991544092,,3.131263904,,,4.753404879,,5.5786324,0.487804878,0.292682927,0.219512195,0.268292683
James Karinchak,468,4.949969256,4.749902777,,,,5.287922146,,,4.8591876,0.466960352,0.211453744,0.321585903,0.145374449
Kyle Funkhouser,319,4.951707106,5.347548517,4.816425269,5.551213565,,,,,5.091608,0.460869565,0.191304348,0.347826087,0.113043478
Nik Turley,373,4.957774236,4.175009548,,,,5.995138321,,,4.6278086,0.387878788,0.133333333,0.478787879,-0.090909091
J.B. Wendelken,427,4.965855713,5.0475537,5.217415888,4.61276716,7.387755774,3.665555397,,,5.344029,0.514285714,0.2,0.285714286,0.228571429
Tarik Skubal,591,4.987138748,4.946786103,,4.291058513,4.904410664,6.940303311,,,4.480187,0.272727273,0.113636364,0.613636364,-0.340909091
Robert Dugger,212,4.988467455,5.315153931,7.869375613,3.578885794,,5.406721133,,,5.5291576,0.566037736,0.150943396,0.283018868,0.283018868
Nick Wittgren,377,4.988735575,5.566839069,,4.490021313,3.932763485,,,,4.983561,0.403508772,0.245614035,0.350877193,0.052631579
Alex Young,797,4.993684288,6.210181885,5.782292854,5.752347927,4.321950877,4.492687895,4.362462075,,4.692614,0.330827068,0.285714286,0.383458647,-0.052631579
Michael King,470,4.99718399,4.498420791,5.500124965,,4.118818879,4.61175048,,,5.126328,0.438596491,0.175438596,0.385964912,0.052631579
Asher Wojciechowski,674,5.005207371,5.386560836,,5.711447729,5.833189402,3.704877686,,,4.778004,0.277777778,0.166666667,0.555555556,-0.277777778
Madison Bumgarner,710,5.006424683,5.828400885,,,,4.842898295,4.453245149,,5.093574,0.41796875,0.234375,0.34765625,0.0703125
Michael Wacha,609,5.007694469,6.053404371,,,4.462955473,,4.228669113,,5.228945,0.457317073,0.201219512,0.341463415,0.115853659
Mike Kickham,262,5.028362819,5.514680475,,6.072576903,,3.415062974,,,4.9149003,0.431818182,0.159090909,0.409090909,0.022727273
Spencer Howard,439,5.042727431,5.856255142,,4.906711213,2.984185553,3.547380007,,,5.036583,0.452631579,0.210526316,0.336842105,0.115789474
David Phelps,357,5.059299715,5.072875317,5.879215659,,,4.349056417,5.13163269,,4.9203124,0.407407407,0.172839506,0.419753086,-0.012345679
Brett Martin,222,5.068192915,5.861553773,5.69969926,4.075102334,,4.742858509,,,4.4760575,0.285714286,0.306122449,0.408163265,-0.12244898
David Peterson,812,5.070603953,5.397172137,6.230124325,4.779253792,3.837137613,,,,4.9274983,0.457142857,0.171428571,0.371428571,0.085714286
Joe Jiménez,389,5.072438184,5.493099775,,4.287096997,5.052616421,,,,4.916328,0.44,0.08,0.48,-0.04
Félix Peña,460,5.07446022,,5.464922245,5.299767719,4.745628074,,,,5.0197816,0.375,0.21875,0.40625,-0.03125
Alex Reyes,369,5.083222341,5.62725411,4.628836309,4.910920702,,5.05895828,,,5.1720214,0.465116279,0.209302326,0.325581395,0.139534884
Lucas Sims,464,5.087243613,5.131668643,,7.725065439,,4.755496948,,,4.972858,0.470852018,0.165919283,0.3632287,0.107623318
Austin Voth,895,5.093980623,5.723589511,,3.946634479,,4.6351161,4.156724669,,5.3204384,0.5,0.206896552,0.293103448,0.206896552
Héctor Rondón,390,5.095851135,4.970564537,6.653352776,4.840820909,,,,,4.66557,0.367346939,0.204081633,0.428571429,-0.06122449
Luis Perdomo,276,5.09888649,,5.408630078,4.269156183,,,,6.252651389,4.38965,0.327586207,0.189655172,0.482758621,-0.155172414
Robbie Erlin,461,5.107799149,4.436563335,6.675716548,,5.203592346,6.015450665,,,4.424595,0.375,0.166666667,0.458333333,-0.083333333
Chad Kuhl,789,5.112329716,,6.484702968,3.9919949,6.060310026,4.493758585,,,5.2378254,0.49270073,0.204379562,0.302919708,0.189781022
Chris Stratton,547,5.115034993,5.837344548,,4.70525686,4.779150244,3.998623613,,,4.778394,0.396078431,0.203921569,0.4,-0.003921569
Jared Hughes,412,5.116164933,8.334469931,4.377882006,,6.638347791,4.648994901,,,5.143591,0.436893204,0.223300971,0.339805825,0.097087379
Steven Matz,633,5.125344484,,5.827985294,5.214870299,5.128787344,2.55871853,,,5.1625457,0.464705882,0.188235294,0.347058824,0.117647059
Caleb Thielbar,371,5.130658722,5.501218555,,5.519355574,,4.099730784,,,5.3097334,0.444444444,0.232323232,0.323232323,0.121212121
Huascar Ynoa,395,5.13124061,7.151631059,,2.997699302,6.596559001,,,,4.3917675,0.327586207,0.189655172,0.482758621,-0.155172414
Corey Oswalt,223,5.131510221,5.168785833,5.222120828,6.88916709,3.020066735,,,,4.879303,0.348484848,0.196969697,0.454545455,-0.106060606
Griffin Canning,965,5.131977149,5.857639078,,5.742281191,3.591749536,4.327026874,,,4.6615453,0.362944162,0.187817259,0.449238579,-0.086294416
Casey Sadler,348,5.133885877,,6.830262148,,,4.322860629,4.00647912,,4.460502,0.353383459,0.203007519,0.443609023,-0.090225564
Rafael Dolis,414,5.136826197,6.388012868,6.175560413,4.746145665,,,,2.602425641,4.575496,0.354700855,0.213675214,0.431623932,-0.076923077
Sonny Gray,968,5.137963431,4.080727236,6.641640034,4.948079505,8.02575376,4.422227854,,,5.2289886,0.485943775,0.224899598,0.289156627,0.196787149
Yusmeiro Petit,315,5.14392665,5.265814174,,,6.061364332,4.685388306,4.620311771,,4.7909765,0.428571429,0.186813187,0.384615385,0.043956044
Colten Brewer,506,5.144711977,4.556902193,,4.289879567,,5.588702331,5.592227188,,4.973931,0.434108527,0.19379845,0.372093023,0.062015504
Grant Dayton,490,5.147923725,5.199249331,,,,5.290606995,,,4.912517,0.411111111,0.233333333,0.355555556,0.055555556
Jon Gray,658,5.154412294,5.557613815,7.052930938,4.305746861,5.250186209,4.745651025,,,4.253771,0.384615385,0.128205128,0.487179487,-0.102564103
Joe Musgrove,673,5.161670845,5.467607866,5.969648231,4.542020143,6.40048865,4.884141544,3.729604466,,4.767062,0.346153846,0.278846154,0.375,-0.028846154
James Paxton,356,5.16412241,5.063325921,,,5.262451892,5.257657989,5.380434408,,4.847198,0.42,0.18,0.4,0.02
Sam Selman,361,5.172896023,6.104900373,,4.525306481,,,,,4.741945,0.418918919,0.182432432,0.398648649,0.02027027
Nate Pearson,324,5.172911326,6.018648427,,3.951208555,6.101224627,4.692748342,,,4.677579,0.333333333,0.19047619,0.476190476,-0.142857143
Cody Reed,236,5.179515839,7.079575083,6.938272439,3.725203596,,,,,4.60342,0.347826087,0.15942029,0.492753623,-0.144927536
Dean Kremer,346,5.194241524,5.591425476,5.065558605,,,6.52409101,3.514342779,,5.478087,0.648148148,0.092592593,0.259259259,0.388888889
Tyler Zuber,412,5.196736076,5.767131564,,4.17172814,5.72704604,5.708453173,,,4.860539,0.4,0.288888889,0.311111111,0.088888889
Taylor Williams,272,5.197061192,5.981564514,7.733306122,4.165927025,,,,,4.7655926,0.488636364,0.113636364,0.397727273,0.090909091
Thomas Hatch,441,5.206688603,6.256204943,7.281356376,5.944533085,1.873408598,,,,4.4920363,0.37037037,0.212962963,0.416666667,-0.046296296
Yoshi Hirano,248,5.220508885,6.19024656,,,,,,4.421900823,4.8443103,0.473214286,0.107142857,0.419642857,0.053571429
Devin Smeltzer,268,5.224933624,7.001180456,,5.993762631,3.522953597,4.533866583,,,5.043526,0.514285714,0.057142857,0.428571429,0.085714286
Drew Rasmussen,302,5.246841928,5.920616602,,2.78104784,,7.008275321,,,4.88313,0.429951691,0.207729469,0.362318841,0.06763285
Kyle Finnegan,419,5.250834491,6.225231793,5.704889725,3.891234246,,,,4.509323844,5.2664895,0.488888889,0.133333333,0.377777778,0.111111111
Vince Velasquez,650,5.253202999,5.174807965,,5.836077297,5.997282911,5.294817483,,,5.0435066,0.478991597,0.179271709,0.341736695,0.137254902
Kendall Graveman,329,5.265212876,5.206231319,5.473443586,5.186070308,4.231195268,,6.078672716,,4.82983,0.392670157,0.246073298,0.361256545,0.031413613
Kyle Cody,370,5.266418569,6.605989508,4.250847582,5.530476472,3.224026327,,,,4.3252664,0.328125,0.25,0.421875,-0.09375
Brady Singer,1071,5.267997939,5.735376666,5.417961458,4.467080752,6.423753488,,,,5.0561104,0.448877805,0.201995012,0.349127182,0.099750623
Johnny Cueto,1145,5.275580316,5.138932366,5.791192471,6.36893151,5.211534612,4.834362325,,,4.9492674,0.4375,0.190789474,0.371710526,0.065789474
Adam Plutko,446,5.277270581,5.367786311,,4.906136106,4.425029827,6.122040833,,,4.709617,0.34375,0.267857143,0.388392857,-0.044642857
Wes Benjamin,389,5.285110474,4.643512038,6.733677554,4.871903974,7.208615939,5.464762523,,,4.276113,0.319148936,0.170212766,0.510638298,-0.191489362
Adbert Alzolay,387,5.286387205,6.292582204,6.334674743,0.526390562,4.862599163,4.955554549,,,6.338745,0.78125,0.09375,0.125,0.65625
Jacob Barnes,309,5.288934072,5.564663326,,,,,5.079080334,,4.9085164,0.37804878,0.219512195,0.402439024,-0.024390244
Chase Anderson,652,5.29579495,5.852980643,7.173983907,4.696842943,1.991201117,6.4513577,6.47255957,,5.1944137,0.53125,0.125,0.34375,0.1875
Jon Lester,1008,5.298327337,5.806739713,5.673970136,,4.816086632,5.380995031,4.973678199,,4.881087,0.404388715,0.210031348,0.385579937,0.018808777
Matthew Boyd,1086,5.31253507,5.743384372,5.093383689,5.979018665,3.010646616,5.93934422,,,4.72578,0.402439024,0.12195122,0.475609756,-0.073170732
Jack Flaherty,719,5.316028816,5.4291311,6.255401867,4.556786509,8.026039912,5.632045467,,,4.613538,0.344827586,0.206896552,0.448275862,-0.103448276
Logan Webb,998,5.318765652,6.176860284,4.506053586,4.491440186,4.936901474,,6.650029051,,4.6919155,0.382608696,0.202898551,0.414492754,-0.031884058
Rony García,393,5.326704479,4.937296325,,5.305802344,7.457640363,,,,4.3584504,0.283018868,0.169811321,0.547169811,-0.264150943
Ian Anderson,571,5.337125169,4.67643793,,,7.032674044,4.361774279,,,5.074996,0.485507246,0.163043478,0.351449275,0.134057971
Austin Gomber,526,5.342841839,5.732650811,,5.722290199,2.613758021,5.097706363,,,4.987927,0.438461538,0.161538462,0.4,0.038461538
Cam Bedrosian,241,5.353029078,5.686513857,,5.116150882,,,,,4.63947,0.37007874,0.196850394,0.433070866,-0.062992126
Bryse Wilson,313,5.374399226,5.620283908,3.476501073,6.165878834,7.668593589,2.716375506,,,5.5616345,0.592592593,0.12962963,0.277777778,0.314814815
Jesse Chavez,306,5.374930887,5.58535971,5.683962752,4.924938782,,,5.899623871,,4.8018217,0.390243902,0.203252033,0.406504065,-0.016260163
Kyle Wright,641,5.38404284,5.640426941,5.286135252,5.084888772,6.724820012,4.212388182,,,4.7021213,0.323699422,0.225433526,0.450867052,-0.12716763
Pedro Báez,306,5.395225974,5.915656511,,4.480690913,5.341939129,,,,4.903662,0.445454545,0.154545455,0.4,0.045454545
Taylor Hearn,352,5.404738646,5.330842673,6.118664996,4.512753331,6.358214474,,,,5.303253,0.51,0.18,0.31,0.2
Reynaldo López,503,5.405873745,6.515142136,,4.56524262,4.24840482,,,,4.666177,0.392996109,0.190661479,0.416342412,-0.023346304
Tyler Chatwood,333,5.415756226,6.112301641,6.373937877,,,6.253604232,4.325198259,,4.6154313,0.311111111,0.244444444,0.444444444,-0.133333333
T.J. McFarland,331,5.416500092,,5.418503401,5.443422344,5.568144572,,,,4.6810174,0.367346939,0.198979592,0.433673469,-0.066326531
Jeff Samardzija,298,5.447966766,6.011077169,6.544643913,4.214737848,,5.97236306,5.50209123,,4.692409,0.309090909,0.218181818,0.472727273,-0.163636364
Jonathan Holder,397,5.46705604,5.542578253,,4.998886196,6.821574806,,3.82925625,,5.032054,0.456521739,0.217391304,0.326086957,0.130434783
Nick Pivetta,290,5.470339674,5.432663896,,6.369123502,,6.266512287,,,4.6798363,0.337837838,0.243243243,0.418918919,-0.081081081
Josh Lindblom,793,5.471690234,6.173437095,,5.081827858,5.576867807,5.590499032,4.39346346,5.540312509,4.6027627,0.35,0.221428571,0.428571429,-0.078571429
Kris Bubic,932,5.472581787,5.584785727,,,5.085200834,6.193965928,,,5.0320964,0.435251799,0.176258993,0.388489209,0.04676259
Cam Hill,291,5.484472795,5.231077964,,5.161389354,,7.148552149,,,4.7514534,0.352380952,0.238095238,0.40952381,-0.057142857
Nate Jones,361,5.486387117,,5.663464255,5.687635814,,,,,4.9180093,0.383233533,0.19760479,0.419161677,-0.035928144
Dylan Cease,1085,5.491543318,5.995574021,,4.562908439,5.208610734,6.577300043,,,4.5989995,0.306930693,0.138613861,0.554455446,-0.247524752
Seth Elledge,231,5.495333862,,5.202637764,6.984069129,,,,,5.08597,0.431506849,0.212328767,0.356164384,0.075342466
Martín Pérez,1033,5.515868156,6.049933957,6.09994482,,5.203797234,5.4379485,5.185861764,,4.5320225,0.403225806,0.182795699,0.413978495,-0.010752688
Johan Oviedo,444,5.518080015,6.146613483,,5.184068724,,5.507248192,,,4.664064,0.404081633,0.155102041,0.440816327,-0.036734694
Matt Barnes,455,5.52480283,6.970238326,,,,4.041511583,,,5.3993125,0.551020408,0.158163265,0.290816327,0.260204082
Génesis Cabrera,397,5.53194177,6.045917625,,,5.948411974,4.401469786,,,4.6713743,0.450892857,0.089285714,0.459821429,-0.008928571
Humberto Castellanos,207,5.538059235,5.417050404,4.710317176,,7.308316577,7.395908414,,,5.1933656,0.526315789,0.236842105,0.236842105,0.289473684
Jace Fry,339,5.549863136,8.830334187,5.86897196,,,5.785972845,4.696011207,,3.7486243,0.275,0.175,0.55,-0.275
Jordan Lyles,993,5.550450143,5.746434445,5.065226069,4.419517975,5.109727528,5.970406117,,,5.1186852,0.427536232,0.195652174,0.376811594,0.050724638
