year,er,pitches,er_per_pitch,run_constant,run_plv_constant,run_plv_coef
2020,7654,263591,0.02903741,1.185,0.134633088,-0.020731069
2021,20199,709855,0.028455107,1.209,0.128459356,-0.019829999
2022,18993,708544,0.026805675,1.257,0.121045661,-0.01882438
2023,,,0.027574914,1.234,0.124749276,-0.019331155
