Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Carlos Hernández,1434,4.323077369,4.466796788,3.989614247,4.527653559,4.502346152,4.182287389,,
Blake Parker,713,4.324603132,4.638618456,,,,5.346761495,4.528988081,3.802662466
Germán Márquez,2788,4.336731974,4.957419651,5.023206644,3.161378152,5.903418244,3.99540009,,
Anthony Bass,959,4.337493896,4.283769892,5.236825203,3.653085334,,,,
Pedro Avila,84,4.339398861,4.710599379,,,9.089553253,,,
Blake Snell,2347,4.340352903,4.442607392,,3.426161261,4.9531408,5.137065051,,
Kyle Hendricks,2809,4.343607023,5.175292096,4.652202824,,3.463083008,4.092169843,,
Carlos Estévez,1007,4.344643423,4.768707847,,3.13281135,3.848523915,,,
Kolby Allard,2054,4.347559801,4.425004702,,,4.943028301,5.324482674,3.418087468,
Ryan Tepera,948,4.348175215,4.721361453,5.37478143,3.525042603,5.259675454,,3.732573388,
Johnny Cueto,1878,4.35093618,4.08241892,4.444813297,4.881780232,4.328222653,4.329515828,,
Shaun Anderson,437,4.350994982,5.502480842,,4.03143957,,,,
Andrew Bellatti,83,4.352899933,10.62619689,,,,,,
Dylan Cease,2957,4.357091892,4.866024636,,3.515897862,4.41589761,4.457180168,,
Eli Morgan,1414,4.359950962,4.745247061,,4.513059172,3.304637383,5.419272123,,
Ljay Newsome,276,4.360384941,4.408919516,,,4.205958658,4.404937066,,
Yusei Kikuchi,2562,4.362044608,4.324060678,,3.697498809,5.125689058,,4.542087853,
Danny Coulombe,529,4.365255708,5.13233524,2.500329382,4.107746563,,4.420487418,,
Anthony Banda,610,4.366020731,4.236005487,,,4.188280088,6.505362822,5.583575713,
Jack Flaherty,1353,4.367914338,4.293168289,6.384236053,3.866546416,6.986276698,4.525445936,,
Ralph Garza Jr.,485,4.369330605,5.670703168,4.749153055,,6.912271221,2.810054846,4.735544743,
Hoby Milner,393,4.373425176,,4.430598346,,7.653712486,4.051038766,,
Mike Mayers,1236,4.374931641,4.031872273,,3.789287623,,,5.411205762,
Garrett Richards,2331,4.377723954,4.647469853,,4.060530902,3.507609792,4.576330864,,
Mike Foltynewicz,2236,4.381143474,5.006361107,4.556284255,3.563854406,4.986848302,3.639641119,,
Tanner Roark,131,4.388495581,5.177408568,6.378455076,4.247035989,,5.015692791,,
JoJo Romero,171,4.38946067,4.579919846,4.617931938,5.43257097,3.11545429,,,
Adam Ottavino,1146,4.390278478,5.429195313,6.113279323,3.256968275,,,,
Merrill Kelly,2425,4.396004979,4.769025269,4.517250094,,4.468738473,3.96269897,3.839260517,
Zac Gallen,2102,4.39818028,4.900507862,,3.87755777,3.411176498,3.716628522,4.638508898,
Joakim Soria,605,4.398697717,4.160057707,,4.520292307,5.165425756,5.431712323,,
Deolis Guerra,1086,4.400344152,5.177161955,5.42915828,5.0595916,2.479033833,5.890526508,,
Miguel Yajure,239,4.409611003,5.084162632,,4.939655573,5.428065129,5.193250651,2.284460959,
Trevor Williams,1537,4.411124764,3.929056437,4.374225755,4.854221428,5.96217914,4.197112165,4.28466329,
Albert Abreu,642,4.417461465,4.469354914,4.727525761,4.437193692,3.786394749,,,
Mychal Givens,873,4.421173395,3.99152926,,3.52569626,5.433071996,,,
Riley Smith,1071,4.422935259,,4.788115898,2.577653999,4.554898251,4.336606194,3.47209594,
Luis Gil,532,4.424712441,4.654035805,,3.947553355,5.413073233,,,
Jake Cousins,533,4.429615784,,5.703269296,4.020104928,,,,
Brad Wieck,293,4.439116534,4.4707628,,,,4.589050344,,
Kenta Maeda,1775,4.43959098,5.650391676,5.93885671,3.305925857,4.69565838,5.154115368,,4.356540055
Marco Gonzales,2324,4.442008369,5.756436459,4.280658976,,3.329902901,4.920149812,5.671332288,
Dominic Leone,851,4.442597857,4.632189844,5.384106924,3.94768996,,,4.504383859,
Gregory Soto,1131,4.443418013,4.852129816,5.388887255,2.974492305,,,,
Nick Ramirez,314,4.444092047,,4.390542204,2.667852702,4.7015147,,5.159463497,
Griffin Canning,1080,4.444207374,5.170490506,,3.487869236,4.219297286,4.623745078,,
Ryan Borucki,369,4.444925872,,4.775937743,4.046006783,3.751038511,,,
Taijuan Walker,2547,4.451844413,4.713589919,4.991292068,3.451380222,,5.150439101,,4.158732887
Anthony Swarzak,199,4.453011487,4.398077424,,4.702913217,,,,
Dinelson Lamet,832,4.453857097,5.755083721,4.730743848,3.327314883,,,,
Grant Dayton,250,4.456569085,3.835996147,,,,5.90761531,,
Tyler Gilbert,600,4.457503891,4.8316004,4.085909183,,,6.071437753,4.140030373,4.734015465
Matt Peacock,1323,4.458677196,,4.911083854,3.574203382,3.532528979,,,
Taylor Hearn,1726,4.461903532,4.43229747,4.672956297,3.264769999,6.211309158,,,
Joely Rodríguez,775,4.465263641,5.684254928,4.14347233,7.096882461,4.261438485,,,
Corey Kluber,1338,4.466824722,5.829311922,6.107329268,,5.193041972,3.092973092,3.851041054,
Brooks Kriske,194,4.474037058,5.279796902,,,,,,5.406629562
Chris Archer,327,4.477623644,5.060865312,,4.376570247,4.76141746,,,
Hansel Robles,1185,4.482431163,4.067054058,4.361656144,3.928220796,5.53740713,,,
Cristopher Sánchez,211,4.483913823,,4.298122786,3.567070005,5.70538169,,,
J.B. Bukauskas,286,4.488922119,5.199736172,,4.087163618,3.943319505,,,
Ryan Hendrix,540,4.493657323,5.968642662,,3.39877703,,,,
Drew Anderson,352,4.495586048,4.375370906,,3.963100009,4.841870989,5.209465443,,
Ronald Bolaños,106,4.502757725,5.926079513,5.446348123,4.125686859,,,,
Ryne Stanek,1166,4.504411502,4.922419031,,4.005090713,,,,3.776411002
Miguel Castro,1228,4.509373091,,5.71650733,3.052331161,4.507784176,,,
José Suarez,1650,4.510592496,4.543455586,6.060404977,8.65529479,4.539410717,3.820243913,,
Sal Romano,437,4.512595825,,4.610348012,4.915646697,,,,
Jimmy Herget,299,4.512914658,5.27300301,6.515071157,3.076560272,,3.525552289,,
Tommy Nance,456,4.513476882,6.011262269,4.498011619,3.701480138,,3.800514708,,
Daniel Bard,1217,4.515891138,5.953188453,5.687048651,2.836435564,6.793752614,,,
Robert Dugger,461,4.516665867,4.895986447,5.346818321,4.937287229,,4.081561812,,
Adrian Sampson,554,4.517142386,,4.571754795,3.76679482,5.807596977,,,
Cal Quantrill,2357,4.523117779,6.074583833,4.893251548,3.847054392,3.649429471,4.414272207,8.298426501,
Luís Madero,214,4.524474144,7.217229918,,3.199672464,7.065497314,,,
Cody Reed,148,4.525819055,,5.856851036,3.872487722,,,,
Justin Topa,88,4.533676529,,6.052307398,2.440429254,,,,
Ashton Goudeau,564,4.534360275,5.192423986,,,3.671641579,4.200190072,,
Michael Pineda,1707,4.546404676,5.017603334,,3.97849595,4.010623879,,,
JT Brubaker,1944,4.557366502,5.361751154,4.982476383,3.381763083,5.378899623,5.089741227,,
Zach Pop,936,4.562627932,7.639597823,4.759774525,3.805460021,,,,
Hunter Strickland,981,4.563394026,5.337262774,5.029802227,3.664585917,,,,
Kendall Graveman,871,4.564431054,3.545392812,4.887226512,3.328242608,6.862164756,,,
Nick Wittgren,1018,4.56614122,4.553535099,,4.755632437,4.439260635,,4.727773364,
Mauricio Llovera,145,4.567559052,6.512326761,,4.649649925,,,,
Aaron Slegers,570,4.568013345,6.434585491,3.739268904,4.207197374,6.12600473,,,
Ryan Helsley,805,4.56885765,4.749148635,,,6.831953962,5.079103263,4.04118283,
Josh Staumont,1096,4.574788825,4.563030999,4.384136744,,,4.717512451,,
Darren McCaughan,147,4.578637441,,5.711514021,4.730730412,7.173871358,,,
Kyle Finnegan,1209,4.579200976,,4.853207493,3.85908414,,,,4.186499599
Zack Burdi,177,4.579499817,4.90504924,,3.817166454,7.631925167,,,
José Cisnero,1067,4.581604169,4.372510794,5.115719115,4.472020481,4.702572615,,,
Sergio Romo,1043,4.587751564,5.650039498,5.404910941,3.709885194,6.709312948,,,
Carlos Martínez,1281,4.589351762,5.389523905,5.183008721,4.132525491,4.911584147,5.365737883,3.518769016,
Zach Thompson,1194,4.589486084,6.214835338,3.860001354,,5.03954578,4.464239519,3.398054169,
Aaron Northcraft,129,4.590874195,,6.886311293,,,,,
Marcos Diplán,512,4.59255422,4.430803102,,,4.95143969,5.282317142,,
Justin Steele,964,4.595660829,4.544367445,6.196029627,3.924691201,,3.750978773,,
Patrick Sandoval,1444,4.602387176,4.989065107,5.784239235,3.585791735,4.355949997,4.462912348,,
Thomas Eshelman,441,4.602816203,7.038558855,4.931739945,3.687035615,5.181689478,3.728371886,,
Alek Manoah,1845,4.605328278,4.441987898,5.459943845,3.762995646,5.336808672,,,
Chris Stratton,1374,4.605463365,5.245380509,,4.126251011,4.862754203,3.521615902,,
J.B. Wendelken,749,4.60880693,5.141772558,5.074499692,3.843111008,4.211297073,,,
Justin Dunn,870,4.610940996,5.234659916,,4.976716656,,3.5787788,,
Jordan Sheffield,456,4.612626509,4.748429631,,4.061362558,4.684795418,,,
Gabe Klobosits,194,4.61268223,5.480499161,,4.113967584,,,,
Bruce Zimmermann,1105,4.614047668,5.557566932,,4.305362491,3.487825384,4.241196055,,
José Quijada,499,4.618790565,4.44832659,,4.581777849,5.571669278,,,
Chris Devenski,145,4.620160883,7.756793174,,,4.5090499,,,
David Price,1178,4.622424234,4.879612066,4.324721496,,4.254322463,6.237109954,5.15119282,
Jordan Lyles,2964,4.625619846,4.632521743,5.386495762,3.81001421,5.574830461,5.068543834,,
Chris Ellis,482,4.629294309,5.29895104,,3.949027154,5.116313882,3.629521152,,
Logan Gilbert,2125,4.631469727,4.264158422,,4.644848967,6.362497474,5.965235203,,
Alex Cobb,1579,4.634365409,5.627291012,5.168131403,,,4.249830488,,4.084033368
Cooper Criswell,41,4.634879351,,9.501502669,,,,,
Austin Adams,962,4.635909455,7.254167726,,5.358934722,,,,
Jharel Cotton,541,4.639873173,4.979028807,,4.630003723,4.150194347,4.743311637,,
Kodi Whitley,401,4.64329569,5.270744103,,2.474104126,4.473870729,,,
Logan Allen,874,4.644817024,5.628468476,,3.229604065,5.478488191,3.932875983,,
Yacksel Ríos,458,4.646515916,4.683417609,5.127910889,3.585590544,,,,6.529517504
Ross Stripling,1686,4.648035351,5.367723486,,4.169269271,2.748445094,4.696933335,,
Jon Gray,2537,4.648995009,4.967243835,,4.045212135,5.348594354,5.121739173,3.702770636,
Conner Greene,447,4.652168174,5.566920777,4.459663175,3.713131656,5.455996296,4.147110027,,
Andrew Miller,620,4.657750448,6.985127355,6.048339401,3.720286639,,,,
Charlie Barnes,655,4.660056666,,6.264781975,4.731908594,4.284008155,,,
Trent Thornton,910,4.66237656,4.7332833,6.070168594,4.584112056,5.142738024,4.4244658,4.472476039,
Lucas Gilbreath,731,4.663431644,5.167094935,,4.152924658,,,4.520777721,
Humberto Castellanos,726,4.669789558,5.152338663,4.682558668,3.993196125,6.108868994,3.861234351,,
Mike Baumann,185,4.670794678,5.699976866,,5.653048223,,,,
Dusten Knight,186,4.671262594,7.11561375,,,4.475533327,5.39127656,,
Nick Pivetta,2745,4.671636372,4.771046271,,4.153561694,4.97981491,4.891885233,,
Austin Voth,1021,4.672903194,4.733561709,,,,4.522605345,4.903325828,
Kyle McGowin,517,4.675184631,6.532822716,4.750101412,4.379430437,,,,
Yoan López,215,4.67693432,5.224829037,,4.524096338,,,,
Anthony Castro,455,4.677829433,5.427625598,,4.409298188,,2.549050241,,
Justin Miller,295,4.67870371,4.595517669,8.116038032,3.134523981,,,,
J.P. Feyereisen,987,4.682734898,4.88381471,,4.864950285,3.997948999,,,
Jake Brentz,1106,4.683690548,4.639932828,,4.398169821,6.010869335,,,
Kyle Zimmer,934,4.685635319,5.25659907,,3.714717825,5.5419998,5.241628528,,
Matt Manning,1421,4.686232209,4.438827592,5.432582439,4.286540482,5.352442063,4.063198047,,
Chi Chi González,1635,4.691531922,5.136571363,4.834093229,4.389664082,4.017178644,4.087225531,4.370863527,
Eric Lauer,1956,4.694584536,4.618212174,,4.05757422,5.466069026,4.22692227,4.921465517,
Matt Harvey,2232,4.699085843,5.479872916,3.945871397,4.165490248,3.777184633,5.033908421,,
Madison Bumgarner,2294,4.701764291,5.259804199,6.106034007,,5.377071807,4.491311747,4.065880389,
Spencer Patton,705,4.70582136,5.001935932,,3.871805744,,,,6.327195236
Sam Moll,167,4.707160211,,5.002386348,4.411714224,,,,
Tanner Scott,1032,4.708754928,6.397420982,9.098899315,3.048904984,,,,
Ian Krol,349,4.712997437,5.937266735,7.119592735,3.553584857,3.758077736,5.458352548,,
Ryan Weathers,1617,4.714653767,4.625162665,5.474226009,3.977791844,6.303108685,,,
Sam Selman,494,4.717717285,5.959975135,,3.251814672,,,,
Josh Rogers,533,4.718431134,4.875806966,4.914070411,4.390878596,5.015559384,,,
Jake Diekman,1117,4.721410227,4.719150874,5.924061684,4.369829695,,,,
Trevor Richards,1061,4.722769149,4.582584226,,,4.936449082,4.87408181,,
Ian Anderson,2175,4.724108728,4.858102665,,,4.613368607,4.778552387,,
Kwang Hyun Kim,1784,4.72431221,5.110141603,,4.501428682,4.153296173,4.827591796,,
Chase Anderson,852,4.725127856,6.174750127,6.228310316,,2.555156593,5.4936138,4.717347994,
Josiah Gray,1213,4.726347725,5.035509298,,4.599872439,8.021170413,3.804827085,,
Rowan Wick,400,4.727109163,5.17437299,,,,4.659270495,3.856542115,
Jonathan Heasley,250,4.730827332,5.797237999,,,3.738653178,4.671817476,,
Max Kranick,674,4.734907348,5.274036166,,3.877809014,5.945155788,4.086098517,,
Keynan Middleton,530,4.736526489,5.27480077,,3.833763743,4.402050492,,,
Gregory Santos,53,4.736558914,2.811040231,,6.193735169,,,,
Brad Boxberger,1074,4.73829761,5.186541644,,4.195511774,4.353500465,,,
Alec Mills,1936,4.740688805,5.819462236,4.671829078,4.605676439,4.598404141,3.625747864,,
Dennis Santana,909,4.74891123,5.380283502,5.280889759,4.453000319,3.899839247,,,
Cristian Javier,1792,4.751714305,5.094038248,,3.415375416,5.316222814,6.329808607,,
Reymin Guduan,229,4.75211281,5.065796489,,4.200332248,,,,
Jhoulys Chacín,1070,4.753969183,5.736422671,6.038962518,3.577928199,6.133648249,3.791725554,,
Dallas Keuchel,2726,4.756964036,7.860490871,5.043626738,4.862321028,4.630904115,,4.12653385,
Jandel Gustave,294,4.759750921,6.003676145,4.781272232,3.897257423,,,,
Julian Fernández,117,4.763420963,5.518022304,,,,,,
Derek Law,292,4.76445109,7.129346426,,4.995912918,,5.465231403,,
Daniel Lynch,1257,4.76926467,5.182114922,5.783977553,4.276525397,3.93981824,4.684290362,,
Kohl Stewart,237,4.771377377,3.442218279,6.353124325,,,,6.306314029,
Keegan Akin,1768,4.771931217,4.678486704,,4.190294687,5.167367963,6.974535271,,
Tyler Clippard,410,4.772409138,4.352488518,6.158270972,,3.486167598,5.461389297,,6.831590479
Sean Guenther,360,4.779994152,5.559372174,,3.611165494,4.731186648,,,
Martín Pérez,1860,4.781499495,4.637492677,4.486410922,,5.034942912,4.956666471,4.833846193,
Luke Farrell,473,4.783609957,6.754079964,,2.94054087,,6.150349299,,
Jakob Junis,627,4.784389173,5.14683708,4.926552375,3.344832426,5.072551004,,4.616776059,
Miguel Sánchez,470,4.785084358,5.669562761,,6.427670834,4.089669191,,,
Hyeon-jong Yang,592,4.787254477,4.88313999,,4.804999856,4.556722698,5.1762939,,
Sean Reid-Foley,371,4.789049333,4.573770347,,4.479586514,6.639258375,,,
Austin Davis,473,4.79477344,5.139781842,,4.801179756,5.621177414,3.792088403,,
Ramón Rosso,144,4.796490192,5.919417437,,3.677335403,,,,
Tayler Saucedo,432,4.796527119,4.651296675,5.168569263,3.342643457,6.639182192,4.4630208,,
Drew Smyly,2139,4.79911242,4.916299535,,,,4.263145858,6.304593045,
Tyler Zuber,506,4.80268283,5.275018593,,3.624035834,5.083732343,6.621634867,,
Triston McKenzie,1975,4.807359823,4.535541409,,5.355328772,6.376673086,5.114391761,,
Brad Hand,1076,4.810219834,5.793614692,5.098442183,3.809434599,,,,
Jesse Biddle,186,4.814474344,5.644286686,,6.110030293,,4.242955844,,
Jay Jackson,391,4.816917537,5.821393852,,4.607399585,,,,
Kyle Ryan,225,4.823374557,5.500487259,4.751466036,,,2.467563039,5.306544748,
Reid Detmers,379,4.825555248,5.182667155,5.321334792,4.391756265,,5.441422788,,
Nate Jones,309,4.829568963,3.888588063,5.629886326,4.163466316,,,,
Brett Anderson,1508,4.837348302,,5.394418815,4.34989753,4.280243293,4.139167557,5.392279958,
Jake Odorizzi,1847,4.844065381,4.823618898,,3.751280602,,4.435534508,4.394403232,5.658049402
Ervin Santana,1063,4.845733954,5.575746051,,4.217825156,4.855010996,,,
Bryan Shaw,1367,4.849927179,,,5.229133398,7.263374974,4.607297647,4.765968455,
Justin Wilson,604,4.852475335,4.898064461,,4.658783553,,,4.809521775,
Adonis Medina,137,4.854094132,7.07027134,6.944778462,3.388518878,4.7487939,,,
Darwinzon Hernandez,754,4.859308243,5.068762671,,4.381500573,,4.027770766,,
Yennsy Díaz,447,4.859890137,5.018809396,,,6.477632373,,,
Adrian Houser,2352,4.860351563,5.742352017,4.695053604,3.388579822,5.957310376,4.556650482,,
Jhonathan Diaz,237,4.862858405,,6.60430666,5.483430722,4.028469176,,,
Sam Clay,803,4.863433499,,5.42351848,3.007714585,5.700070998,,,
Juan Minaya,659,4.869384766,6.218449153,,3.101907908,3.669960984,,,
Michael Feliz,370,4.873158646,4.791747548,,5.415651715,3.663948481,,,
Kris Bubic,2202,4.873308387,5.235128979,,,4.346018293,4.739647029,,
Darren O'Day,189,4.87616694,3.941880047,,6.418235818,,,,
Touki Toussaint,820,4.88485321,5.945831448,5.323835363,,,4.800631974,,3.724924771
Javy Guerra,66,4.887739355,,5.467640634,,,,,
Alex Claudio,587,4.887918745,7.961760582,3.663973295,5.178356039,4.809226163,,,
Paul Campbell,468,4.889143753,4.97917223,,4.951330566,5.219778223,4.523118642,,
Wade LeBlanc,794,4.890124885,4.189505616,5.497133602,,4.997690798,3.181011605,5.412982446,
Connor Overton,274,4.890507242,5.591725813,5.269550108,5.414820585,4.399156643,,,
Andre Scrubb,354,4.897644948,,,,,3.813775822,6.34130414,
Trevor Megill,460,4.898184763,5.0103048,,5.851423111,,4.738991578,,
David Hale,461,4.900488853,5.274283658,5.311288369,,4.143169486,4.76528597,,
Daniel Castano,333,4.901937516,5.247088678,5.495515713,3.935693912,5.91118001,,,
Jorge López,2166,4.906841289,5.646292465,5.013495892,3.445211839,5.193048904,4.216598869,,
Tyler Kinley,1143,4.91007728,5.630146408,,4.336367397,5.478480619,,,
Keury Mella,50,4.913389206,11.69854573,,,,,,
Miguel Diaz,695,4.915112087,5.551359215,,,4.508093743,,,
Conner Menez,247,4.925837926,6.1160901,,4.624541657,,,,
David Phelps,189,4.926457805,4.656005364,7.218149896,,,4.694597354,5.296544883,
Duane Underwood Jr.,1176,4.930270554,4.985474218,4.913700338,,4.654466505,5.311834136,,
Brandon Bielak,835,4.938549805,5.026413744,5.785784728,4.73021599,4.091069083,4.931494463,4.44433576,
Ryan Sherriff,278,4.939974872,,6.304285741,3.795506247,,,,
Ian Gibaut,104,4.94461441,5.365655054,,4.621703378,4.692515252,,,
Kyle Crick,434,4.946429004,7.186630531,,3.83605687,,,,
Peter Solomon,227,4.946652549,5.197830506,,5.278013987,,5.946557365,4.391370219,
Jordan Hicks,207,4.947891235,,5.662032674,,,,6.337536482,
Adam Morgan,442,4.952729777,6.264382021,5.052448956,4.308117689,9.478848009,4.441872051,,
Mike Fiers,152,4.959647451,6.324996157,6.920425104,3.404821116,3.895266724,,,
Stephen Strasburg,362,4.979829641,5.42551319,6.371592122,,4.67634613,3.58018595,,
Sam Long,732,4.995056027,5.287703517,,,5.910446167,4.557333252,,
Matt Andriese,855,4.998228086,5.059723107,5.910813663,,4.873142465,5.132101159,4.757018363,
Kyle Funkhouser,1189,4.998313941,4.153633634,5.325348868,5.035101467,5.622385956,,,
Spenser Watkins,960,5.001802212,5.504930175,,,4.886557416,4.810003721,4.341189929,
Sam Howard,846,5.002941216,5.998799592,,4.457172345,,,,
Chase De Jong,775,5.007210535,4.61826436,,5.562049332,4.483115415,5.384341982,,
Amir Garrett,828,5.008144245,5.9368181,,4.316713716,,,,
Blake Taylor,748,5.009543538,5.156986671,,4.644156055,,,,
Manuel Rodríguez,300,5.011904159,4.674614414,6.163553359,3.849312045,,,,
Will Vest,607,5.014093454,5.398492244,,5.425398581,3.995379363,,,
Jordan Holloway,664,5.014738295,6.361080086,10.88129514,3.309907555,,4.645214589,,
Andres Machado,627,5.015681472,4.695098466,6.355437477,4.642149311,5.542885708,,,
Packy Naughton,383,5.015900331,5.353568186,5.188385891,4.23693433,5.272491498,,,
Chris Rodriguez,505,5.016595048,,5.239116144,3.83619229,7.888450335,4.466669624,,
Tyler Duffey,1053,5.017594608,5.78443832,4.141134997,,,4.419948149,,
Andrew Wantz,483,5.018235369,6.338647233,,4.059501011,5.553051444,,3.38120507,
Dane Dunning,1909,5.020209899,,5.034080947,5.16164846,4.549606841,5.714682638,5.04054149,
Ross Detwiler,888,5.028697797,5.13505853,5.327649176,3.986073128,6.290438911,5.725878902,4.551446782,
Kyle Cody,209,5.032723146,6.091230071,4.179369921,4.814074853,3.382317159,,,
Jaime Barría,917,5.035263062,5.109201793,6.282175395,4.381044705,4.888521201,,,
Kohei Arihara,696,5.037892576,6.095241639,5.853043592,4.871268845,4.899699727,,4.037227817,3.515275111
Griffin Jax,1394,5.039000721,5.040079478,,4.75362364,5.241227337,5.900650583,,
Reiss Knehr,513,5.044098427,5.10167593,,6.925084132,6.454263982,,5.014863484,
Drew Hutchison,339,5.054649711,5.441538819,,5.140277695,4.585724823,,,
Josh Sborz,1079,5.06568107,5.409562603,,4.095303975,,5.772199363,,
Stephen Gonsalves,82,5.067725108,6.833891725,,,,4.994010086,,
James Karinchak,1032,5.075094016,5.322069852,,,,4.648515467,,
Brad Keller,2348,5.087529285,5.555565859,5.732383693,3.824697593,7.015983917,,,
Sam Hentges,1260,5.094352352,6.054411119,6.091087381,4.26694099,,4.099569506,,
Konner Wade,248,5.096424309,,7.149223121,,3.28880305,,5.086708292,
Garrett Cleavinger,356,5.10020913,5.59653403,,4.505844744,,,,
Jacob Barnes,570,5.102476608,4.422112375,,,5.496388452,,5.966951724,
Patrick Murphy,486,5.106064388,4.572692827,5.008221019,,,5.95869488,,
Shawn Armstrong,685,5.110155741,5.789644705,,4.605248409,,,4.196419836,
Archie Bradley,921,5.11083745,5.009365094,5.7361651,,4.914371876,4.998339497,,
Deivi García,153,5.111629028,5.878918631,,4.895473436,2.39189677,6.4893351,,
David Peterson,1122,5.112944641,5.109609949,5.565446014,4.956794014,4.559209838,,,
Matt Shoemaker,1064,5.114960223,5.546148477,6.109508745,4.457518324,,,,4.891037572
Brady Singer,2287,5.115793679,6.906018385,5.560519503,4.128175407,7.696055408,,,
Lewis Thorpe,251,5.117951103,5.828276067,,4.941017169,5.183583914,2.786985524,,
Paul Fry,872,5.121930619,5.129019978,,5.152502476,,,,
Ryan Hartman,46,5.123309817,6.201901357,,,,,,
Ryan Weber,160,5.125667835,,5.866160426,,,4.979510873,,
Sean Poppen,406,5.127495036,,5.459190706,4.61468051,5.337777076,,,
Nick Anderson,102,5.133594195,5.633649163,,,,4.08802398,,
Cody Ponce,712,5.13632096,5.972155695,,4.504477584,3.905348756,5.447495715,4.236671638,
Dylan Bundy,1524,5.141029021,4.992553918,6.546958281,4.80939044,4.463737826,5.041200377,,
Wily Peralta,1554,5.142819442,6.076435315,6.400506097,3.851376211,4.764341902,,,3.390159875
Tony Santillan,761,5.143835449,6.038939661,,3.993938502,4.231316229,6.127949217,,
Jimmy Nelson,523,5.150552684,5.954724144,,4.462967603,,5.20469719,,
José De León,347,5.156160112,,5.141546594,2.88302451,6.683284686,,,
Matt Moore,1254,5.169021815,5.466939732,,,4.111074904,5.208541422,5.46216899,
Greg Holland,997,5.173743699,5.968389713,,4.595451702,,4.901542387,,
Jake Woodford,1156,5.182944613,5.290442723,5.137094786,4.561907695,6.594019527,5.71221687,,
Paul Blackburn,681,5.186509373,6.430847541,6.032445789,,4.936650748,5.20660291,3.602790855,
Jon Lester,2380,5.190190153,5.23379513,5.742033922,,4.934630916,4.950305259,5.055774705,
Daniel Norris,989,5.190338135,6.012300767,,3.762144558,5.071001209,,,
R.J. Alaniz,71,5.195827961,,9.970372574,,,,,
Aaron Sanchez,595,5.19978678,6.426624991,4.463650595,,5.903757833,4.327994632,,
Taylor Widener,1217,5.212428233,5.142584937,,5.011259166,5.83811801,,,
Aaron Fletcher,86,5.212837393,,6.775572468,,4.978426925,,,
Wander Suero,761,5.21504724,,,,5.840937729,6.245393652,4.987883876,
César Valdez,757,5.216767684,4.821053927,5.030074584,5.888907649,5.254602554,,,
Alex Lange,639,5.234447158,6.19216111,,4.748807003,3.681796033,,,
Vince Velasquez,1750,5.235430822,4.913417994,6.794130844,5.601696354,4.985756873,5.801383742,,
Eric Hanhold,189,5.236076601,6.934077066,,3.143950465,5.854349643,,,
Alex Reyes,1249,5.237125239,5.62341647,5.653325111,4.091536999,5.467877327,6.336869439,,
Ryan Buchter,294,5.239730212,5.31523102,,,,4.679663606,6.761144465,
Alex Colomé,1102,5.244325608,5.624093908,,,,,5.086170006,
Mason Thompson,424,5.244848921,6.692025227,5.406225969,3.79673028,,,,
Justin Garza,503,5.248066215,4.476595877,5.968047318,3.832938422,5.240110965,,4.727746361,
Matt Foster,729,5.257715079,5.320225697,,4.700107648,5.756358647,,,
Nick Mears,452,5.266773115,4.791280698,,,,6.155963016,,
Glenn Otto,448,5.268637848,6.069107181,,3.980802461,5.284824287,5.856423747,,
Caleb Smith,2067,5.27219496,5.636840531,,4.723929363,4.660545656,6.373002905,,
Brad Peacock,95,5.280984521,4.837830126,5.488298535,5.440680327,5.776663028,,,
Ty Tice,142,5.282695293,6.912022375,,3.167406208,,5.912491597,,
Steve Cishek,1255,5.284673923,4.549586139,5.101481378,5.890781663,,,,
Kyle Barraclough,268,5.291408832,6.009827457,,5.440224808,,3.061938084,,
José Ureña,1695,5.291577068,6.23977481,5.124809339,4.031450138,6.717059528,,,
Hirokazu Sawamura,946,5.295412459,5.905821145,,4.521937409,,,,4.893962593
Miguel Del Pozo,80,5.313866973,5.443391204,,,,5.649191429,,
Brandon Waddell,213,5.316507339,7.238076664,,4.329676878,,,,
Dean Kremer,986,5.328659721,5.315570485,,,6.92821229,5.963557297,4.367566731,
Brandon Kintzler,510,5.332579538,,5.200315175,5.415894807,6.943873615,,,
Keegan Thompson,966,5.332593155,6.079742921,,,7.055623736,4.841552405,4.435805674,
Travis Lakins Sr.,501,5.341837747,6.257254749,,,5.241227215,4.263699738,5.226113292,
Francisco Perez,122,5.35233078,5.874541847,,6.191023757,,,,
J.A. Happ,2674,5.354327646,5.568089638,5.419977868,4.625053396,5.057152645,7.011530412,,
Kyle Muller,677,5.359572809,6.686975362,,3.549690967,,6.654239714,,
Shawn Morimando,199,5.361276811,6.264783099,,,,7.129861572,5.138815034,
James Kaprielian,2024,5.390125296,6.121867337,5.026978194,4.412375565,4.973087801,3.826834279,,
Cody Poteet,549,5.390328449,5.421088383,,4.686065562,5.979318137,5.751831334,,
Anthony Kay,649,5.392705332,4.906130655,,6.304895497,6.599361909,6.607313616,4.970107902,
Andre Jackson,199,5.398905618,6.640337415,,6.011223853,4.918796572,,,
Isaac Mattson,91,5.409095764,8.203795242,,,,,,
Bryan Abreu,689,5.41561932,6.339728453,6.656470829,4.239828656,,5.390425504,,
Jesús Luzardo,1727,5.417380806,5.641173829,6.320361855,,4.950625753,4.89065894,,
Kyle Keller,654,5.425267181,6.279715303,,,,4.52440221,,
