year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_ip,plv,pitch_runs
2020,Aaron Loup,571901,SI,L,L,91,6.6911764705882355,5.26,2.331426
2020,Aaron Loup,571901,CH,L,R,28,2.0588235294117645,4.40,1.212818
2020,Aaron Loup,571901,CU,L,R,2,0.14705882352941177,1.75,0.196565
2020,Aaron Loup,571901,FC,L,R,85,6.25,5.00,2.638806
2020,Aaron Loup,571901,SI,L,R,78,5.735294117647059,4.75,2.824498
2020,Aaron Nola,605400,CH,R,L,150,9.320557491289199,4.59,5.910783
2020,Aaron Nola,605400,CU,R,L,150,9.320557491289199,5.90,1.845571
2020,Aaron Nola,605400,FF,R,L,206,12.800232288037165,4.71,7.629785
2020,Aaron Nola,605400,SI,R,L,59,3.666085946573751,4.42,2.539377
2020,Aaron Nola,605400,CH,R,R,164,10.19047619047619,5.54,3.256150
2020,Aaron Nola,605400,CU,R,R,156,9.693379790940766,5.61,2.871421
2020,Aaron Nola,605400,FF,R,R,211,13.110917537746804,5.22,5.561556
2020,Aaron Nola,605400,SI,R,R,52,3.2311265969802556,4.96,1.653249
2020,Aaron Slegers,642083,CH,R,L,21,1.4108527131782946,4.68,0.791686
2020,Aaron Slegers,642083,FF,R,L,78,5.240310077519379,4.80,2.733714
2020,Aaron Slegers,642083,SI,R,L,17,1.1421188630490955,4.91,0.558038
2020,Aaron Slegers,642083,SL,R,L,30,2.0155038759689923,4.86,1.019188
2020,Aaron Slegers,642083,CH,R,R,10,0.6718346253229974,5.81,0.142631
2020,Aaron Slegers,642083,FF,R,R,11,0.7390180878552972,4.47,0.461297
2020,Aaron Slegers,642083,SI,R,R,134,9.002583979328165,5.15,3.735232
2020,Aaron Slegers,642083,SL,R,R,86,5.777777777777778,4.98,2.696876
2020,Adam Cimber,643256,FF,R,L,34,2.177024482109228,5.44,0.744501
2020,Adam Cimber,643256,SI,R,L,12,0.768361581920904,6.35,0.035108
2020,Adam Cimber,643256,SL,R,L,32,2.048964218455744,4.92,1.042948
2020,Adam Cimber,643256,FF,R,R,7,0.44821092278719404,5.67,0.120019
2020,Adam Cimber,643256,SI,R,R,37,2.3691148775894537,5.21,0.984922
2020,Adam Cimber,643256,SL,R,R,55,3.52165725047081,4.86,1.858670
2020,Adam Kolarek,592473,SI,L,L,106,8.606837606837606,5.19,2.873278
2020,Adam Kolarek,592473,SL,L,L,15,1.2179487179487178,3.40,0.963326
2020,Adam Kolarek,592473,CH,L,R,18,1.4615384615384617,4.85,0.613182
2020,Adam Kolarek,592473,FF,L,R,10,0.811965811965812,5.75,0.153395
2020,Adam Kolarek,592473,SI,L,R,78,6.333333333333333,4.71,2.891249
2020,Adam Kolarek,592473,SL,L,R,7,0.5683760683760684,3.53,0.430857
2020,Adam Morgan,605388,CH,L,L,3,0.21081081081081082,5.71,0.048833
2020,Adam Morgan,605388,CU,L,L,1,0.07027027027027027,5.50,0.020654
2020,Adam Morgan,605388,FF,L,L,28,1.9675675675675677,4.75,1.011367
2020,Adam Morgan,605388,SI,L,L,7,0.4918918918918919,5.52,0.140841
2020,Adam Morgan,605388,SL,L,L,67,4.708108108108108,5.20,1.795456
2020,Adam Morgan,605388,CH,L,R,30,2.1081081081081083,4.47,1.255934
2020,Adam Morgan,605388,CU,L,R,7,0.4918918918918919,4.80,0.246138
2020,Adam Morgan,605388,FF,L,R,13,0.9135135135135135,3.86,0.709996
