year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_IP,pitch_runs
2020,Adbert Alzolay,640470,SI,R,R,34,2.060606061,1.3906002
2020,Adonis Medina,658431,FF,R,R,22,4,0.5752348
2020,Adrian Houser,605288,CH,R,L,101,6.174672489,3.6916327
2020,Adrian Houser,605288,CU,R,L,86,5.257641921,3.1676698
2020,Adrian Houser,605288,CU,R,R,25,1.528384279,0.7416152
2020,Adrian Houser,605288,FF,R,L,151,9.231441048,5.930267
2020,Adrian Houser,605288,FF,R,R,36,2.200873362,1.5771827
2020,Adrian Houser,605288,SI,R,L,181,11.06550218,5.724221
2020,Adrian Houser,605288,SI,R,R,223,13.63318777,5.9575186
2020,Adrian Houser,605288,SL,R,L,35,2.139737991,1.1059388
2020,Adrian Houser,605288,SL,R,R,78,4.768558952,1.9609878
2020,Adrian Morejon,670970,CH,L,R,50,3.661616162,0.7523197
2020,Adrian Morejon,670970,CU,L,L,35,2.563131313,0.41118675
2020,Adrian Morejon,670970,CU,L,R,22,1.611111111,0.51964974
2020,Adrian Morejon,670970,SI,L,L,56,4.101010101,0.9552622
2020,Adrian Morejon,670970,SI,L,R,101,7.396464646,3.7356715
2020,Alec Mills,621219,CH,R,L,95,6.266313933,3.4765608
2020,Alec Mills,621219,CH,R,R,56,3.69382716,1.388213
2020,Alec Mills,621219,CU,R,L,112,7.387654321,3.1650584
2020,Alec Mills,621219,CU,R,R,30,1.978835979,0.8939522
2020,Alec Mills,621219,FF,R,L,159,10.48783069,6.2931747
2020,Alec Mills,621219,FF,R,R,84,5.540740741,3.811161
2020,Alec Mills,621219,SI,R,L,154,10.15802469,4.9944773
2020,Alec Mills,621219,SI,R,R,160,10.55379189,4.2788444
2020,Alec Mills,621219,SL,R,L,40,2.638447972,1.326998
2020,Alec Mills,621219,SL,R,R,55,3.627865961,1.8669033
2020,Alex Claudio,592222,CH,L,L,33,2.003194888,0.89143115
2020,Alex Claudio,592222,CH,L,R,91,5.523961661,2.467632
2020,Alex Claudio,592222,SI,L,L,63,3.82428115,0.9241179
2020,Alex Claudio,592222,SI,L,R,52,3.156549521,1.8042897
2020,Alex Claudio,592222,SL,L,L,45,2.731629393,1.4049058
2020,Alex Claudio,592222,SL,L,R,29,1.760383387,0.87319183
2020,Alex Cobb,502171,CU,R,L,56,3.631557208,1.7354314
2020,Alex Cobb,502171,CU,R,R,79,5.123089632,2.252905
2020,Alex Cobb,502171,FF,R,L,140,9.078893019,5.3135934
2020,Alex Cobb,502171,FF,R,R,248,16.08261049,9.474704
2020,Alex Cobb,502171,FS,R,L,177,11.47831475,5.3033214
2020,Alex Cobb,502171,FS,R,R,107,6.938868236,2.7726889
2020,Alex Colomé,517008,FC,R,L,161,9.824225865,4.881481
2020,Alex Colomé,517008,FC,R,R,101,6.163023679,3.1189172
2020,Alex Colomé,517008,FF,R,L,51,3.112021858,2.0454907
2020,Alex Colomé,517008,FF,R,R,53,3.234061931,2.043966
2020,Alex Reyes,621052,CU,R,L,38,2.285423038,1.1051527
2020,Alex Reyes,621052,CU,R,R,24,1.443425076,0.75228685
2020,Alex Reyes,621052,FF,R,L,75,4.510703364,3.0502982
2020,Alex Reyes,621052,FF,R,R,107,6.435270133,3.0146875
2020,Alex Reyes,621052,SI,R,L,24,1.443425076,0.8095167
2020,Alex Reyes,621052,SL,R,R,59,3.54841998,1.8947223
2020,Alex Vesia,681911,FF,L,L,54,2.412371134,1.7418656
2020,Alex Vesia,681911,FF,L,R,43,1.920962199,1.1160097
2020,Alex Wood,622072,CH,L,R,52,2.562905318,1.740004
2020,Alex Wood,622072,CU,L,L,39,1.922178988,1.2751769
2020,Alex Wood,622072,CU,L,R,42,2.070038911,1.6719259
2020,Alex Wood,622072,SI,L,L,47,2.316472114,0.86281437
2020,Alex Wood,622072,SI,L,R,77,3.795071336,2.6162825
2020,Alex Young,622065,CH,L,R,159,9.518087855,4.6493177
2020,Alex Young,622065,CU,L,L,65,3.891042205,1.4096038
2020,Alex Young,622065,CU,L,R,132,7.901808786,4.307357
2020,Alex Young,622065,FC,L,L,63,3.771317829,1.4615053
2020,Alex Young,622065,FC,L,R,66,3.950904393,2.1735756
2020,Alex Young,622065,FF,L,L,44,2.633936262,1.504398
2020,Alex Young,622065,FF,L,R,82,4.908699397,3.5499787
2020,Alex Young,622065,SI,L,L,37,2.214900947,1.8571495
2020,Alex Young,622065,SI,L,R,96,5.746770026,3.1104257
2020,Alex Young,622065,SL,L,L,30,1.795865633,0.9799808
2020,Amir Garrett,607237,FF,L,L,39,2.609489051,1.5090727
2020,Amir Garrett,607237,FF,L,R,68,4.549878345,2.8791282
2020,Amir Garrett,607237,SL,L,L,88,5.888077859,1.7716107
2020,Amir Garrett,607237,SL,L,R,79,5.285888078,2.5784342
2020,Andre Scrubb,668687,CU,R,L,90,5.246305419,2.523259
2020,Andre Scrubb,668687,CU,R,R,101,5.887520525,4.2756925
2020,Andre Scrubb,668687,FC,R,L,89,5.188013136,2.6821396
2020,Andre Scrubb,668687,FC,R,R,126,7.344827586,5.6294193
2020,Andrew Chafin,605177,FF,L,L,40,2.343434343,1.1545333
2020,Andrew Chafin,605177,FF,L,R,36,2.109090909,1.6460768
2020,Andrew Chafin,605177,SI,L,L,33,1.933333333,0.863395
2020,Andrew Chafin,605177,SI,L,R,27,1.581818182,1.2050565
2020,Andrew Chafin,605177,SL,L,L,29,1.698989899,0.6154026
2020,Andrew Heaney,571760,CH,L,R,182,11.2345679,5.5896764
2020,Andrew Heaney,571760,CU,L,L,141,8.703703704,3.8836145
2020,Andrew Heaney,571760,CU,L,R,128,7.901234568,3.6424308
2020,Andrew Heaney,571760,FF,L,L,185,11.41975309,3.6631134
2020,Andrew Heaney,571760,FF,L,R,357,22.03703704,9.52607
2020,Andrew Heaney,571760,SI,L,L,22,1.358024691,0.36465132
2020,Andrew Heaney,571760,SI,L,R,65,4.012345679,0.9376487
2020,Andrew Kittredge,552640,SI,R,R,42,3.906976744,1.5582391
2020,Andrew Kittredge,552640,SL,R,R,44,4.093023256,1.755806
2020,Andrew Miller,453192,FF,L,L,28,1.946524064,0.8638035
2020,Andrew Miller,453192,FF,L,R,37,2.572192513,2.06753
2020,Andrew Miller,453192,SL,L,L,73,5.07486631,2.3417063
2020,Andrew Miller,453192,SL,L,R,49,3.406417112,1.4416273
2020,Andrew Suárez,605498,CH,L,R,34,2.452736318,2.0414746
2020,Andrew Suárez,605498,SI,L,L,31,2.236318408,1.676351
2020,Andrew Suárez,605498,SI,L,R,31,2.236318408,1.0144614
2020,Andrew Suárez,605498,SL,L,L,38,2.741293532,0.6995297
2020,Andrew Triggs,592811,CU,R,L,25,1.590330789,0.7098685
2020,Andrew Triggs,592811,SI,R,L,47,2.989821883,2.2056427
2020,Andrew Triggs,592811,SI,R,R,24,1.526717557,1.0715369
2020,Andrew Triggs,592811,SL,R,L,35,2.226463104,1.6805176
2020,Angel Perdomo,622780,FF,L,L,31,1.425287356,1.1020191
2020,Angel Perdomo,622780,FF,L,R,27,1.24137931,1.1615053
2020,Aníbal Sánchez,434671,CH,R,L,43,2.386387435,1.7212397
2020,Aníbal Sánchez,434671,CU,R,L,42,2.330890052,0.73225313
2020,Aníbal Sánchez,434671,CU,R,R,43,2.386387435,1.1289068
2020,Aníbal Sánchez,434671,FC,R,L,82,4.55078534,2.9560895
2020,Aníbal Sánchez,434671,FC,R,R,140,7.769633508,4.8883715
2020,Aníbal Sánchez,434671,FF,R,L,136,7.547643979,4.5785127
2020,Aníbal Sánchez,434671,FF,R,R,93,5.161256545,3.2619207
2020,Aníbal Sánchez,434671,FS,R,L,169,9.379057592,5.7178316
2020,Aníbal Sánchez,434671,FS,R,R,100,5.54973822,3.280378
2020,Aníbal Sánchez,434671,SI,R,L,50,2.77486911,1.9293914
2020,Aníbal Sánchez,434671,SI,R,R,57,3.163350785,2.4683573
2020,Anthony Banda,607455,CH,L,L,23,1.166666667,0.60621923
2020,Anthony Banda,607455,CH,L,R,56,2.84057971,1.770965
2020,Anthony Banda,607455,FF,L,L,27,1.369565217,1.0775986
2020,Anthony Banda,607455,FF,L,R,32,1.623188406,1.5684266
2020,Anthony Bass,542914,SI,R,L,69,5.178362573,2.4777348
2020,Anthony Bass,542914,SI,R,R,124,9.306042885,4.731499
2020,Anthony Bass,542914,SL,R,L,47,3.527290448,1.5157067
2020,Anthony Bass,542914,SL,R,R,102,7.65497076,3.5300248
2020,Anthony DeSclafani,543101,CH,R,L,39,2.188333333,1.5131137
2020,Anthony DeSclafani,543101,CU,R,L,67,3.759444444,2.0135279
2020,Anthony DeSclafani,543101,CU,R,R,20,1.122222222,0.57788026
2020,Anthony DeSclafani,543101,FF,R,L,136,7.631111111,5.113568
2020,Anthony DeSclafani,543101,FF,R,R,42,2.356666667,0.87532127
2020,Anthony DeSclafani,543101,SI,R,L,55,3.086111111,2.5871496
2020,Anthony DeSclafani,543101,SI,R,R,77,4.320555556,2.6749969
2020,Anthony DeSclafani,543101,SL,R,L,75,4.208333333,2.6447945
2020,Anthony DeSclafani,543101,SL,R,R,89,4.993888889,2.880264
2020,Anthony Kay,641743,CH,L,R,67,3.491315136,2.7281187
2020,Anthony Kay,641743,CU,L,L,73,3.803970223,2.077638
2020,Anthony Kay,641743,CU,L,R,27,1.406947891,1.152114
2020,Anthony Kay,641743,FF,L,L,102,5.315136476,3.11783
2020,Anthony Kay,641743,FF,L,R,134,6.982630273,5.2545233
2020,Anthony Misiewicz,664948,CU,L,L,26,1.716171617,0.62303436
2020,Anthony Misiewicz,664948,FC,L,L,66,4.356435644,1.138066
2020,Anthony Misiewicz,664948,FC,L,R,53,3.498349835,1.2509906
2020,Anthony Misiewicz,664948,FF,L,L,45,2.97029703,1.5288947
2020,Anthony Misiewicz,664948,FF,L,R,86,5.676567657,2.8086786
2020,Anthony Misiewicz,664948,SL,L,R,27,1.782178218,0.7100426
2020,Antonio Santos,665733,FF,R,L,20,1.690140845,0.9861489
2020,Antonio Santos,665733,SI,R,L,29,2.450704225,1.3661203
2020,Antonio Santos,665733,SL,R,R,22,1.85915493,0.45125604
2020,Antonio Senzatela,622608,CH,R,L,80,5.164319249,3.0957274
2020,Antonio Senzatela,622608,CH,R,R,37,2.388497653,1.1271006
2020,Antonio Senzatela,622608,CU,R,L,47,3.034037559,2.0194597
2020,Antonio Senzatela,622608,CU,R,R,51,3.292253521,1.6802137
2020,Antonio Senzatela,622608,FF,R,L,402,25.95070423,13.007064
2020,Antonio Senzatela,622608,FF,R,R,234,15.1056338,7.473843
2020,Antonio Senzatela,622608,SL,R,L,121,7.811032864,2.6472957
2020,Antonio Senzatela,622608,SL,R,R,164,10.58685446,4.9940968
2020,Archie Bradley,605151,CH,R,L,27,1.896551724,0.7160609
2020,Archie Bradley,605151,CU,R,L,29,2.037037037,1.0316125
2020,Archie Bradley,605151,CU,R,R,33,2.318007663,0.9139637
2020,Archie Bradley,605151,FF,R,L,88,6.181353768,3.8937237
2020,Archie Bradley,605151,FF,R,R,84,5.900383142,2.8722882
2020,Aroldis Chapman,547973,FF,L,L,53,3.289007092,1.5951431
2020,Aroldis Chapman,547973,FF,L,R,92,5.709219858,2.7788033
2020,Aroldis Chapman,547973,SL,L,L,23,1.427304965,0.4018222
2020,Aroldis Chapman,547973,SL,L,R,20,1.241134752,0.45681518
2020,Artie Lewicki,592499,SL,R,R,25,3.333333333,1.1696316
2020,Asher Wojciechowski,592879,CH,R,L,29,1.615963855,1.0253912
2020,Asher Wojciechowski,592879,CU,R,L,78,4.346385542,2.4191072
2020,Asher Wojciechowski,592879,CU,R,R,103,5.739457831,1.6711612
2020,Asher Wojciechowski,592879,FF,R,L,180,10.03012048,5.6840034
2020,Asher Wojciechowski,592879,FF,R,R,128,7.13253012,4.435556
2020,Asher Wojciechowski,592879,SL,R,L,70,3.90060241,2.2337441
2020,Asher Wojciechowski,592879,SL,R,R,76,4.234939759,2.852514
2020,Ashton Goudeau,623485,CU,R,R,23,3.194444444,0.9989723
2020,Ashton Goudeau,623485,FF,R,R,37,5.138888889,1.7743491
2020,Austin Adams,613534,SL,R,R,51,4,1.8493742
2020,Austin Brice,592169,CU,R,L,44,2.417132216,1.4557204
2020,Austin Brice,592169,CU,R,R,90,4.944134078,2.836115
2020,Austin Brice,592169,FF,R,L,35,1.922718808,1.2833532
2020,Austin Brice,592169,FF,R,R,36,1.977653631,1.2879614
2020,Austin Brice,592169,SI,R,L,47,2.581936685,2.685203
2020,Austin Brice,592169,SI,R,R,106,5.823091248,2.7608457
2020,Austin Davis,656354,FF,L,L,22,2.156862745,0.70792997
2020,Austin Davis,656354,FF,L,R,46,4.509803922,1.5650547
2020,Austin Gomber,596295,CH,L,R,39,2.150190114,0.62445295
2020,Austin Gomber,596295,CU,L,L,39,2.150190114,0.9680606
2020,Austin Gomber,596295,CU,L,R,91,5.017110266,3.0915833
2020,Austin Gomber,596295,FF,L,L,74,4.079847909,2.641588
2020,Austin Gomber,596295,FF,L,R,200,11.02661597,6.9806437
2020,Austin Gomber,596295,SL,L,L,39,2.150190114,1.6417432
2020,Austin Gomber,596295,SL,L,R,44,2.425855513,1.2677525
2020,Austin Voth,608723,CU,R,L,112,6.513661202,3.119959
2020,Austin Voth,608723,CU,R,R,98,5.699453552,2.8818111
2020,Austin Voth,608723,FC,R,L,22,1.279469165,0.90710837
2020,Austin Voth,608723,FC,R,R,31,1.802888368,0.45128825
